,BAS_ID,IntHH_RI,IntHH_R2_RI,IntHH_R3_RI,IntHH_R5_RI,IntTekl_RI,IntTekl_R2_RI,IntTekl_R3_RI,IntTekl_R5_RI
17,21317,498.9858073787837,8134.993800483386,6441.892609914307,5033.98840531333,3919.0146448260416,3725.489416546704,3507.358505770018,3463.954985043109
18,21318,676.7286188911488,10715.41638277087,8515.344924389745,6711.957869421122,5026.622520356749,4764.657504490682,4543.60597220651,4504.658810390076
19,21319,263.9477983935491,4144.840263959082,3256.151456896531,2561.7652937383036,1940.2096189721628,1971.0854873250091,1761.8950678095619,1726.8137405313682
20,21320,391.9207342146856,6308.3171292818,4969.382816744912,3996.7557319917833,2555.2387452701464,2899.8445890268813,2508.0740340385883,2454.7889341142836
21,21321,544.2436378938346,9067.545522858842,7036.965766943629,5498.8477936420895,3864.0080997058685,4173.901391509065,3653.5490431715,3563.1784205393915
22,21322,441.8543294524989,5207.837098755839,4204.0161322878785,3390.391682509881,2441.194467148823,2364.0102691526295,2254.8252343358686,2259.6576771119107
23,21323,224.50673458137115,3705.311905135408,2893.2765376032307,2276.403472504645,1521.2245107837057,1720.252367028989,1480.1667143924203,1432.39549894349
24,21324,106.36543383849494,1594.161194976373,1237.2158209061,956.3831535465574,701.8988357536642,744.5849425891151,649.0814061319694,630.3080799421574
25,21325,250.78847929136217,3304.1010219670275,2616.701360762959,2033.232998052002,1626.497218714536,1663.5900057578874,1444.7368265372886,1406.932319643329
26,21326,151.6003286170754,3585.5197441808923,2901.1566346857503,2304.5908517670896,1666.895448092548,1170.7747019228295,1426.705547980679,1462.88151295322
27,21327,152.12886226525234,2538.235764959987,1900.8306248076372,1445.054713962567,988.2451273292817,1115.7400113501367,940.97888076336,905.7592848798238
28,21328,175.8773576592833,2739.765099912374,2107.555780364364,1638.7702251642452,1155.7781654877526,1263.0343196846532,1083.7596169227904,1053.4901887106032
29,21329,211.37082163338178,3056.7825592296954,2478.498954742763,1980.313081674917,1489.107421237443,1526.9839318005404,1365.8449657365165,1345.1981433651226
30,21330,231.02038160101338,3325.867220053537,2649.1767034450627,2091.539864492622,1643.4714520719162,1732.3045043906702,1492.0649868010078,1454.7615543144561
31,21331,205.25710566992188,2904.5769507495825,2274.7398669030986,1782.8921530149041,1358.6124719678246,1448.3599782300537,1237.747217318794,1203.7931527953995
32,21332,104.06794204993233,1417.2588657126207,1108.7729400476799,860.3645346979472,678.6185249497942,703.9886191295899,604.2245433078581,590.1881026641964
33,21333,340.55274960577276,4800.847131137871,3851.258102496687,3036.5392978471423,2245.1597258628476,2293.421317458765,2076.680092382686,2032.9337205049715
34,21334,432.4720541343347,5309.769010201699,4257.302397377549,3349.3988401796078,2874.951803532202,2737.865857431918,2442.9178657373836,2423.8387188764495
35,21335,257.7828915998298,3495.1688719199988,2749.6293199984716,2142.858838856422,1631.9669260962537,1601.6064798100895,1457.5809278721867,1438.2929565560732
36,21336,244.92468840056355,3947.663338958079,2991.3717471946393,2327.071590621408,1556.6358596858852,1830.892788299453,1519.6246520735685,1463.3839377583613
37,21337,375.8027869278616,6037.45261647487,4630.33386497294,3636.3297797176433,2332.4331847464996,2620.494184880224,2275.434039257682,2222.9027634358954
38,21338,196.63557176347913,3025.845848355386,2328.8401205574382,1789.641507577277,1207.2801441178337,1391.8871250718014,1178.233743875015,1131.2295339055504
39,21339,48.46330104163511,612.1136271372729,501.5583151628862,403.15917518554994,316.4670870583812,319.057603128982,283.7310444268705,279.2878223014603
40,21340,149.94774350379114,1914.0913198566911,1531.308804453009,1211.8340355728585,964.7091385120633,900.7309128389057,843.1022885880233,837.3167603322469
41,21341,259.69535564970084,3406.460298883366,2731.9130052150463,2157.183241147034,1601.9001586653183,1715.7802715659159,1481.2579150808158,1443.281963450171
42,21342,202.2433566988943,2894.051633264747,2289.226769633387,1764.5561242825077,1242.2757793121382,1402.0193045898384,1193.8300315819681,1144.9688963672093
43,21343,168.4312875707613,2543.355885156032,1969.8319923774002,1517.7284470363622,1007.8070281888399,1159.819187307696,984.7269703956401,944.9238847915935
44,21344,275.61041498013753,5086.107221618738,3780.217966101057,2877.2958030260247,1676.3184547595317,2063.227845892626,1727.7005460990222,1647.1463652326247
45,21345,244.68311066180132,4122.413470575831,3114.2862875126243,2368.254545661565,1459.8375313535241,1727.9600917226146,1470.7855492069205,1407.244599698211
46,21346,130.82557573090398,1933.4097120152512,1483.0896059289773,1138.7008065864684,772.5357475268078,891.7874090327297,748.2760522717185,720.9929999006798
47,21347,148.7057773194332,2445.3126837322134,1834.9368755185105,1370.824203268846,877.151693260009,1057.4998925871444,875.6320707026277,830.3996856746843
48,21348,255.40193295175553,4677.7473008405905,3465.23785061373,2584.202997919834,1510.4669473505398,1868.5546554140728,1565.0233487740995,1478.6054671154884
49,21349,201.36732017896566,3195.159610326664,2387.7611127517075,1782.1051755860165,1201.2299956777374,1368.5556491275365,1162.031161369589,1109.302917164357
50,21350,151.92453725946876,2009.5913481776697,1569.8627234637036,1215.9054659729636,900.11207705274,964.5080196449389,828.5707004203078,805.3399794807227
51,21351,436.79897817017076,7223.97865968492,5535.178452919042,4298.06112729347,2702.3682644949627,3206.0834743905907,2705.104956348268,2600.1816758354803
52,21352,646.6963707781414,10129.652438507273,7882.147315394314,6184.427087127515,4030.8847827298678,4351.2765262536195,3910.9678615839443,3822.9399066080437
53,21353,632.2633425202213,9382.486706518594,7363.785912474524,5783.825855312767,3853.6344422196726,4147.880619945558,3696.979445531544,3617.3214999463166
54,21354,360.18900091266426,5180.36734274184,4051.2668428650704,3166.714204576026,2152.026024029249,2424.634791311228,2077.4575865916177,2012.6596729579705
55,21355,548.9599093880508,8271.15158042297,6366.740594028329,4950.8991080791875,3412.0922345237923,3829.0612526700675,3265.1525940659712,3170.992285936146
56,21356,643.1210459940881,9639.723307615424,7587.066518358209,5924.853082718899,4072.424516070391,4483.0939536878195,3905.173478415587,3784.683733414566
57,21357,156.57651218865965,2209.512151662763,1703.6322491878022,1297.2838010139458,943.7994410372045,1045.4133195955656,887.8292063867618,852.656677784155
58,21358,262.2973547918707,3656.4515335047086,2833.9827920247576,2177.5271794343976,1550.8546948857177,1685.3189129346447,1464.5228203621823,1414.0721585589665
59,21359,383.2779485525984,5322.1726667638195,4136.360146357658,3215.277235877333,2190.77814667446,2414.364455661318,2099.548771431838,2038.883590343326
60,21360,668.4352403122366,9827.826136005959,7642.055876801456,5940.092992713985,4044.210567152302,4458.223691435194,3887.7816510260977,3770.6710434295796
61,21361,276.2390275532237,4012.3722160837788,3149.098390292824,2441.61466477654,1813.5678495161221,1776.8567920811338,1667.9714356700708,1626.1954048832906
62,21362,197.56060889270879,2999.635661544831,2364.6366703389244,1835.0899525303864,1407.9835540976594,1434.0954391952082,1265.7279347088534,1234.22812833006
63,21363,372.69104783150436,4900.9523168454225,3883.2892187753487,3033.5051131300847,2305.9977472836654,2392.928650122094,2106.9945096877404,2051.9969473809256
64,21364,519.888233965694,6772.423086442699,5396.85776588538,4253.264217969561,3190.1704152871266,3126.4756967077587,2913.524244061451,2858.8329157078533
65,21365,225.47491537170492,2890.0858348871543,2251.8987197968922,1755.598918359453,1326.632572217946,1369.302431969419,1208.3869436582102,1177.7903820346517
66,21366,193.78969507354992,2603.803071693323,2028.8158344194,1558.7548448654566,1151.1774162224153,1241.5955667487597,1075.8232118745982,1036.6125318493914
67,21367,433.2427900331535,6407.232737559006,5042.136815919486,3964.111470634425,2934.3576171790373,2754.3279780505386,2643.5099883498733,2631.1131363260943
68,21368,302.0747625374693,4223.353288960873,3370.8500347745776,2667.7768962478935,2171.71490037732,1810.867370421062,1869.008196760044,1869.0744343488896
69,21369,840.0106818284189,12816.216269188077,10001.09703502209,7833.869554247606,5180.491403035256,5705.707491747058,5020.556128392351,4899.370443758645
70,21370,250.0053779598424,4009.834519479508,3031.078770129325,2298.6981891758396,1451.3142138200365,1735.222206757233,1453.3434588287466,1383.0362115126725
71,21371,254.13326698332784,3507.9014926595714,2766.003387975008,2155.970616559815,1785.6576159454796,1448.8066146647068,1507.9882257001948,1507.5272817822656
72,21372,283.35058177778626,3594.6687377367766,2786.2576319781256,2127.3060283709306,1713.1075998059953,1530.601277537616,1493.4595661325884,1448.621764873847
73,21373,156.16224173478534,2203.8873319203035,1772.8215349038783,1397.6862081098614,1128.5127382154506,1022.4281848721107,990.5023167369046,979.6121601961624
74,21374,140.1360695956349,1967.237900899189,1592.683468997683,1257.6180536909826,1098.2589493694036,867.406680477123,905.8639672558934,910.9832915047533
75,21375,184.54461691997554,2489.2177237762094,1984.9681947662332,1538.0364648887455,1204.0637349886356,1236.2410289506931,1092.9871436632766,1052.2083502434352
76,21376,698.9412992004928,8979.802715608954,7089.460909711191,5563.650393969148,3955.3363635379246,4241.122514324536,3697.466509331205,3602.5160430180877
77,21377,583.6379786756293,7065.155822743771,5579.869428260667,4383.109545889413,3253.097830769155,3405.9729608359703,2984.3638816259177,2914.64983090261
78,21378,472.79577749329144,3474.343248393056,2846.1757827805245,2289.145883164879,1611.9429123361294,1324.9095881304906,1365.101668056387,1358.6376055459837
79,21379,417.22633092615763,4631.337398949175,3624.4806601717037,2825.746424484574,1832.0013814466095,1843.6582222122156,1712.2451791052815,1670.5865182206937
80,21380,413.85753990048204,5049.037213274539,4096.432212093733,3220.0705344399867,2426.4699004258864,2171.49090121401,2176.377619153776,2157.643022679953
81,21381,264.2494930558926,3126.2862193847486,2461.539696765375,1901.208765628747,1531.977327388235,1461.360804173176,1343.338410757922,1314.1855811210112
82,21382,576.5084802293895,7794.851099034161,6158.950224185348,4801.269935413875,3447.5617557348637,3499.0420198186207,3208.3329082972627,3137.745810109802
83,21383,352.7935222234288,4695.041577073801,3721.911894864647,2910.0896511252904,2319.58145332401,2105.9106470421098,2041.5297156141735,2013.8791335356975
84,21384,506.5342559713282,2930.9700451090393,2324.372894749372,1810.5660935220562,1544.5498785793682,1031.553436313681,1294.8240032641022,1311.8826448582458
85,21385,353.756770456004,1074.6739303770207,920.7253345205378,780.3020555808638,199.55209775604493,110.85015121940373,118.30571848071499,110.77674187759207
86,21386,354.6710330003313,3492.4291649455427,2845.715851877808,2271.8880376295297,1990.6321131517923,1845.5742727628135,1664.4669169734823,1653.3368793522486
87,21387,298.5865635662357,3087.6858150513553,2446.0746357276885,1912.019416257623,1573.8719295311053,1570.4097342480934,1372.321224203579,1342.4453107351724
88,21388,494.18788650275843,6467.692109762591,5023.42577591401,3907.4054199643965,2648.8924226634094,2859.906663182247,2530.0236719725413,2459.8929028900047
89,21389,467.04766519554397,5796.542214992042,4546.815294395716,3525.6678233625485,2664.8639494909617,2822.476289956575,2445.258663065179,2371.194947520784
90,21390,238.82140053167342,3060.5675232750586,2413.287271304822,1913.1643610842546,1348.2363924907859,1429.9171719818441,1257.722225422664,1234.321179543106
91,21391,578.8484751927572,8498.059774309748,6551.802391495781,5086.101889267479,3373.4506834746007,3572.3655410029655,3224.9948685929517,3156.580327243442
92,21392,341.0218023641061,4803.658405199733,3727.8062552892834,2888.91645442736,1983.774220266078,2112.2361121067315,1866.190945240868,1822.9835336909728
93,21393,363.8393004986346,5598.2690447273435,4206.544298837068,3193.6547267524625,2006.1332269684333,2316.914708949997,1978.5635702407005,1903.3645136570879
94,21394,289.17602278849023,4410.958282949868,3356.3569368247604,2575.102201633472,1597.432054532077,1854.0449918658592,1591.8213902295172,1533.4096832063362
95,21395,425.0790311098796,5695.482265275021,4527.835310517646,3525.418131759116,2424.424612425147,2612.0733827373956,2305.7308631283413,2240.654141077671
96,21396,304.36518475595403,4793.029112394136,3643.3012497852374,2762.8473296633456,1675.9424412776805,1896.701397969984,1677.3969083516517,1616.6355227086167
97,21397,938.4161367134436,14006.991467057169,10802.663079169819,8433.86453504743,5434.263588757939,5984.582793228788,5282.324129447172,5146.097002682638
98,21398,498.270955019217,6622.600394013806,5227.010854830737,4065.4997924795484,3012.4178088970834,3045.107299452333,2767.746667924262,2701.676933110099
99,21399,439.12829130240414,6308.021994746515,4867.099732564279,3769.4874761270903,2489.117356490876,2693.1185301276278,2385.7686293775046,2323.0923355607592
100,21400,631.4170345751246,9226.221828383503,7160.199313718464,5564.099776843764,3676.7277360416383,4089.870392156024,3566.8377934689915,3457.7700852491025
101,21401,637.0114341711188,6338.593324454344,4914.990606018777,3829.338607446621,2589.2499550093194,2481.5645663012624,2457.6436657022914,2406.6268446495073
102,21402,241.09361881099932,3673.365795174778,2807.177458007214,2132.0368039092873,1411.5354334545054,1640.1273951446228,1385.7944324062926,1324.7534881684653
103,21403,348.82763697471506,4464.348750058186,3487.1252192425695,2682.9636379661765,1854.297330331991,1826.2423581294106,1727.9511630080656,1699.8366650788887
104,21404,548.9272559954725,6929.122566887648,5459.826499176018,4246.516814241588,3229.0818730091128,3229.899851280087,2929.2677996938287,2864.48369114481
105,21405,834.0006061155044,11266.335819814047,8880.328578542661,6970.681942726979,5291.319986096054,5375.355964644937,4806.99925654016,4712.248525582659
106,21406,236.06761517453455,3630.441819168498,2786.275852392764,2157.6832636955187,1463.4570897273898,1563.4675037125053,1405.9027205230097,1366.198242839468
107,21407,265.39215231268884,3792.0766079050827,2958.601531956825,2300.767398459746,1650.8346773820942,1774.5761899618856,1555.8538572920045,1511.377968303633
108,21408,650.3280619578919,9042.942109426464,7050.482578904022,5494.980293201887,3808.052630253548,3913.670610382477,3573.5116818737824,3490.847873214732
109,21409,465.8024848986975,6581.130355977385,5176.174426626721,4049.673871819326,2945.5411378539516,3073.7163875505876,2735.842321849231,2673.2953136359374
