intercept,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 연면적 비율,근린생활시설 연면적 비율,단독주택 연면적 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말 비율,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,점포밀도,(주거인구+직장인구)/유동인구,주거인구/직장인구,x,y,BAS_ID,open_11cluster
169.5087018,-13.14397791,0.002498459,0.001750097,-281.6510832,-26.53990404,0.081506899,0.036022945,-0.00724822,-4.886231734,-128.4339701,0.120435502,0.411437129,0.535290353,0.292200026,-0.003874733,-9.83E-07,2.77E-07,2.62E-08,5.324914885,8.564554328,-6.657147212,-1.54402042,6.051141534,-23.75061089,-6.24E-05,-21.46946135,13.3724108,1.33E-05,0.000129796,8.882791868,-0.10751828,126.7488156,37.52051244,21320,4
169.5002899,-14.63679464,0.003319014,0.001824949,-282.3974479,-26.51549855,0.079281968,0.03729439,-0.007450016,-4.245041046,-126.9316408,0.121068198,0.42035842,0.17873571,0.237402013,-0.003350257,-9.48E-07,2.45E-07,2.98E-08,5.331192856,7.869728303,-7.191969111,-1.385015594,6.201891434,-23.62617429,4.94E-05,-21.47330435,13.29170408,1.38E-05,7.36E-05,10.0537471,-0.10689741,126.7432418,37.51850596,21321,4
169.0728194,-11.99732098,0.00043325,0.001568924,-285.0290187,-27.00440327,0.058621759,0.033839643,-0.006386621,-5.587777291,-133.0699693,0.116817518,0.393055728,0.926779329,0.345754871,-0.004604021,-9.71E-07,3.06E-07,1.20E-08,3.883523651,7.231071122,-6.977887156,-3.480075754,5.291604986,-24.41455849,-0.001861147,-21.686024,13.20094167,3.92E-06,0.000188971,6.825047867,-0.109464407,126.7556659,37.52007689,21322,4
169.3188008,-17.42840362,0.004029318,0.00188585,-284.8081616,-26.65055839,0.071744285,0.037197519,-0.007688288,-2.983137097,-128.2662343,0.121215544,0.426956205,-0.087858767,0.195519822,-0.002856563,-9.26E-07,2.18E-07,1.72E-08,5.569109191,6.794159825,-8.334696565,-1.82456627,6.231623322,-23.60134683,-0.000338539,-21.56423948,13.08198361,1.38E-05,4.44E-06,10.67215448,-0.106724496,126.7338089,37.51608671,21323,4
169.3318175,-16.40839317,0.003773826,0.001866477,-284.4438947,-26.6398274,0.072024039,0.037829249,-0.008152549,-3.563635731,-127.0019747,0.120934946,0.423479195,-0.067461209,0.203330476,-0.002988251,-8.75E-07,2.24E-07,2.35E-08,5.157016208,6.978585632,-8.120653256,-1.79929753,6.178858227,-23.65770669,-0.000353435,-21.55068619,13.13334139,1.38E-05,4.26E-05,10.23852621,-0.106940941,126.7373531,37.51538694,21324,4
169.3540723,-15.07875275,0.003607085,0.001855024,-283.9299239,-26.62283944,0.073200953,0.038254354,-0.007684123,-3.943310842,-126.1240951,0.120654899,0.418955087,0.065491958,0.217199227,-0.003162501,-8.27E-07,2.35E-07,2.17E-08,4.852967413,7.241159947,-7.897825857,-1.83305355,6.140489435,-23.70581422,-0.000310969,-21.53549091,13.19072792,1.38E-05,8.00E-05,9.769488239,-0.10715908,126.742111,37.51527984,21325,4
169.4063891,-13.34771636,0.002981607,0.001801676,-282.8857313,-26.58508316,0.076760826,0.037924723,-0.007255036,-4.571285712,-126.3971885,0.120268725,0.412318707,0.314050824,0.253625699,-0.003548507,-8.37E-07,2.52E-07,-1.82E-11,4.581037605,8.153654517,-7.257088961,-1.641857141,6.081443904,-23.77113784,-0.000226581,-21.50752344,13.29235716,1.33E-05,0.000147171,9.013515591,-0.107575097,126.7485031,37.51560939,21326,4
169.2662286,-16.51027163,0.003943046,0.001885524,-285.0435352,-26.67716588,0.069787884,0.038790456,-0.00849591,-3.4830434,-125.7335929,0.120725838,0.421821909,-0.071905456,0.194290328,-0.002882436,-8.11E-07,2.25E-07,1.72E-08,4.830049432,6.846434498,-8.489259714,-1.970431526,6.148624614,-23.69677137,-0.000544551,-21.57259445,13.10291761,1.41E-05,7.02E-05,9.970144593,-0.107174747,126.737103,37.51270182,21327,4
169.2864949,-17.40196887,0.004172902,0.001901596,-285.0961812,-26.65598605,0.068955328,0.038538494,-0.00867755,-3.000601601,-126.1612647,0.121093323,0.426676053,-0.064941715,0.182563144,-0.002712752,-8.60E-07,2.14E-07,1.31E-08,5.180709824,6.853330978,-8.56162325,-1.943280452,6.208323932,-23.63020559,-0.000616155,-21.56720252,13.0823771,1.43E-05,3.61E-05,10.38866261,-0.106901667,126.7335752,37.51295517,21328,4
169.5070251,-18.27845926,0.006460386,0.002099007,-283.4642006,-26.48017133,0.080822701,0.037078173,-0.003687426,0.109342469,-132.0601678,0.122526513,0.435175236,-0.150165736,0.193169172,-0.00233616,-1.01E-06,2.14E-07,-5.74E-08,7.066298801,7.378224078,-9.033374615,-1.628196004,6.535406944,-23.28455614,-0.000150367,-21.50229453,13.07206612,1.45E-05,-8.50E-05,12.18212464,-0.106029614,126.7248955,37.51642895,21329,4
169.3667568,-18.24351466,0.004865157,0.001956833,-284.6698447,-26.60199894,0.073874249,0.036977859,-0.006788746,-1.647907685,-129.3508235,0.121807646,0.432104478,-0.109173614,0.18439525,-0.0025935,-9.89E-07,2.11E-07,-8.68E-09,6.245391804,6.83411802,-8.650342115,-1.772082813,6.358904644,-23.47421473,-0.000322034,-21.55167846,13.05502024,1.41E-05,-3.65E-05,11.39110282,-0.106365573,126.729141,37.51599953,21330,4
169.3764099,-17.61144754,0.005002878,0.001968838,-284.5493751,-26.57835664,0.070018889,0.038562751,-0.00921105,-1.545962187,-126.1672928,0.121773746,0.433458386,-0.061805483,0.168550393,-0.002399326,-9.22E-07,2.04E-07,-1.04E-08,5.859547358,6.956822774,-8.694506964,-1.821054483,6.3324803,-23.50338588,-0.000715611,-21.53521106,13.08869208,1.48E-05,-9.28E-06,11.03488293,-0.106478853,126.7289697,37.51302316,21331,4
169.5790918,-16.97831941,0.006677367,0.002116578,-282.8271303,-26.41358622,0.074876925,0.039038924,-0.011954878,0.688290734,-126.4360311,0.122709811,0.43860751,-0.059298009,0.158368441,-0.002061308,-9.40E-07,2.07E-07,-6.31E-08,6.77964554,7.532107697,-8.92940852,-1.736100847,6.504197314,-23.32204541,-0.000897103,-21.45761372,13.1489803,1.58E-05,-6.84E-05,11.66706985,-0.106019057,126.7245615,37.51284889,21332,4
169.6472494,-17.44615551,0.0074151,0.002185625,-282.2527092,-26.35805223,0.081351227,0.0383212,-0.007142711,1.222226832,-130.2172976,0.123027995,0.439089415,-0.130883139,0.182833842,-0.002049412,-9.96E-07,2.10E-07,-8.16E-08,7.327235683,7.828094753,-9.099824358,-1.642335833,6.609235178,-23.20414528,-0.000563005,-21.44034862,13.14179546,1.55E-05,-0.00010682,12.20291822,-0.10581605,126.7227241,37.51429492,21333,4
169.7990541,-17.28551465,0.010277163,0.002470303,-281.0403098,-26.24077242,0.088082158,0.038945148,-0.009226649,2.85950458,-139.1741546,0.123515138,0.436377745,-0.016690674,0.29190215,-0.001705514,-1.09E-06,2.08E-07,-1.60E-07,8.097344038,8.871103845,-10.38895308,-2.267488765,6.755315479,-22.99685338,0.000136935,-21.39905866,13.12270925,1.55E-05,-0.000238455,11.11654108,-0.10657478,126.7152209,37.51234927,21334,6
169.6595301,-15.43945082,0.007301576,0.00217227,-282.0843371,-26.35574177,0.071730211,0.041201511,-0.019357509,1.752420172,-122.3887894,0.122941023,0.441440215,0.13718077,0.138746311,-0.001761012,-8.90E-07,2.11E-07,-9.01E-08,6.642720303,7.727771671,-9.074990658,-2.008653353,6.485506585,-23.33732185,-0.00158505,-21.41105911,13.20910051,1.66E-05,-6.59E-05,10.7312301,-0.105977237,126.7231238,37.51022634,21335,1
169.4130717,-16.37917226,0.005421667,0.002005185,-284.0699479,-26.53681481,0.067791556,0.040606213,-0.01391233,-1.092710689,-122.95112,0.121820087,0.434584333,-0.017019603,0.148475409,-0.002140777,-8.57E-07,2.07E-07,-2.39E-08,5.611932727,7.188943319,-8.824523514,-1.884738985,6.32951044,-23.51390536,-0.001108911,-21.50561021,13.13322677,1.54E-05,2.42E-05,10.63066975,-0.106494688,126.7285193,37.51048242,21336,1
169.3906112,-15.13133586,0.005686984,0.002030952,-284.0160217,-26.5461881,0.066103456,0.042614111,-0.016875005,-0.905616991,-120.3165719,0.12162396,0.432768352,0.029768193,0.134542012,-0.001959876,-7.91E-07,2.20E-07,-3.31E-08,5.218366053,7.265352623,-9.126184998,-2.030197265,6.294074618,-23.56340383,-0.001501987,-21.50185647,13.14153387,1.57E-05,8.06E-05,10.01260427,-0.106658476,126.7288741,37.50824363,21337,1
169.5626651,-14.29240234,0.007069589,0.002149063,-282.713211,-26.44173113,0.065268704,0.043154643,-0.02358181,1.606376103,-119.4483453,0.12246817,0.439112027,0.375701216,0.1254315,-0.00166963,-8.19E-07,2.22E-07,-9.55E-08,5.922019255,7.42798386,-9.37087242,-2.327741811,6.360877679,-23.46208642,-0.002042985,-21.43591956,13.18682777,1.65E-05,-1.06E-05,9.913622224,-0.106394074,126.7236745,37.50808789,21338,1
