intercept,BAS_AR,서비스업매출월평균변화량,아파트시세변화_차분평균,소매업매출월평균변화량,외식업매출비율,근린생활시설 비율,단독주택 비율,x,y,BAS_ID
125.2020217571255,11.950684183203022,5.910102527898011e-07,-0.006444923774428922,5.872663608320024e-07,-4.224418275376063,-0.12807970707227065,0.033015316027676364,126.73357519465186,37.5129551650066,21328
127.61120186920502,0.2229567811023898,1.0165570191154825e-06,-0.00870485760830677,2.760445975080198e-07,-1.22624627894773,-0.06146581008207278,0.1355600103192965,126.7248954590203,37.516428945139154,21329
126.30420814042677,4.835563425848075,8.254640459016766e-07,-0.0068671340669765515,4.3369775329123113e-07,-3.097817472834566,-0.10260224640503147,0.06469317430221869,126.72914095377996,37.51599952583299,21330
125.77577429827235,1.9575864041085058,6.759909116685181e-07,-0.008617346399667755,4.927155053256174e-07,-3.99912595841535,-0.1111442633148843,0.0498127090518941,126.72896966340448,37.513023161354845,21331
126.9769572074593,-1.9637217360484636,8.752638886311754e-07,-0.015381311992426951,3.305166122289899e-07,-2.5369479635200047,-0.06227803362990522,0.10488349425568465,126.72456153357894,37.51284888767801,21332
128.00123666408984,-2.229947918933611,1.037911817273842e-06,-0.013900537057751667,2.414991345116048e-07,-0.9521249284467987,-0.031742834846989074,0.15768015332714916,126.72272411487454,37.514294919956676,21333
131.0958909154643,-6.378423909245425,1.07125888357898e-06,-0.019613148657005457,5.540958021117588e-08,3.1462217445218794,0.12821997976359323,0.3424717700371632,126.71522085131534,37.512349271270885,21334
126.9023184909563,-3.7987573030107953,7.434352698064957e-07,-0.023092350542581616,3.3947886854209515e-07,-2.903601238782712,-0.035095920265793105,0.09837573738534253,126.72312378787706,37.51022634485727,21335
125.46598232588386,0.40937075208239815,5.719373914693432e-07,-0.013186721569679503,5.201674178380141e-07,-4.382976394273555,-0.10572762305661978,0.044300138358490684,126.72851926211857,37.51048241928701,21336
125.07153737920555,0.7073932762125699,4.432372316318726e-07,-0.015487133429982227,5.4001092733642e-07,-4.5994039571859044,-0.09713508070047451,0.04185702723185215,126.72887410436182,37.50824363218556,21337
126.19554346139637,-4.116199266920248,5.674707684222769e-07,-0.02552785954103802,3.9680547922687293e-07,-3.8188506769485215,-0.029752291075631657,0.07259919339374526,126.72367451730786,37.508087894345195,21338
124.94729885247848,7.91303740646843,4.960977301733754e-07,-0.006636407657265031,5.920359020869183e-07,-4.522907686174562,-0.1279436122854158,0.03381542457159043,126.73281609389528,37.51084224358553,21339
124.6313573627248,10.576543929346615,4.3339807998947125e-07,-0.005023900058060411,6.06208080710663e-07,-4.707476019740824,-0.1300313771135552,0.033965501074878335,126.73433203369085,37.50968150840593,21340
