,대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
5953,인천광역시 부평구 부평동 604-6번지,,40.01,04000,제2종근린생활시설,20120817.0
5954,인천광역시 부평구 부평동 604-7번지,,313.57,01000,단독주택,19890526.0
5955,인천광역시 부평구 부평동 604번지,,197.22,04000,제2종근린생활시설,19791229.0
5956,인천광역시 부평구 부평동 605-12번지,별빌딩,768.76,04000,제2종근린생활시설,19930720.0
5957,인천광역시 부평구 부평동 605-13번지,,313.82,03000,제1종근린생활시설,19831229.0
5958,인천광역시 부평구 부평동 605-16번지,,198.72,01000,단독주택,19921210.0
5959,인천광역시 부평구 부평동 605-17번지,,482.22,03000,제1종근린생활시설,19840502.0
5960,인천광역시 부평구 부평동 605-19번지,,504.03,03000,제1종근린생활시설,19801231.0
5961,인천광역시 부평구 부평동 605-20번지,,253.42,01000,단독주택,19930107.0
5962,인천광역시 부평구 부평동 605-21번지,,228.24,01000,단독주택,19901228.0
5963,인천광역시 부평구 부평동 605-23번지,,331.42,01000,단독주택,19801231.0
5964,인천광역시 부평구 부평동 605-24번지,,136.03,01000,단독주택,19791224.0
5965,인천광역시 부평구 부평동 605-24번지,,142.43,01000,단독주택,19801220.0
5966,인천광역시 부평구 부평동 605-26번지,,147.06,01000,단독주택,19860630.0
5967,인천광역시 부평구 부평동 605-27번지,다온그린빌,523.9,02000,공동주택,20100201.0
5968,인천광역시 부평구 부평동 605-2번지,,104.78,01000,단독주택,19680510.0
5969,인천광역시 부평구 부평동 605-30번지,다온그린빌,526.55,02000,공동주택,20100201.0
5970,인천광역시 부평구 부평동 605-32번지,동양빌딩,413.6,04000,제2종근린생활시설,20040119.0
5971,인천광역시 부평구 부평동 605-33번지,.,240.26,01000,단독주택,20150116.0
5972,인천광역시 부평구 부평동 605-34번지,,221.17,01000,단독주택,19910123.0
5973,인천광역시 부평구 부평동 605-35번지,부성골든타운,633.6,02000,공동주택,20020209.0
5974,인천광역시 부평구 부평동 605-38번지,,489.69,04000,제2종근린생활시설,19970910.0
5975,인천광역시 부평구 부평동 605-39번지,,3.0,01000,단독주택,19900708.0
5976,인천광역시 부평구 부평동 605-39번지,,583.22,01000,단독주택,19900708.0
5977,인천광역시 부평구 부평동 605-3번지,,16.53,01000,단독주택,
5978,인천광역시 부평구 부평동 605-3번지,신안빌라,407.92,02000,공동주택,19951109.0
5979,인천광역시 부평구 부평동 605-40번지,,218.03,01000,단독주택,19910105.0
5980,인천광역시 부평구 부평동 605-41번지,,267.14,01000,단독주택,19890808.0
5981,인천광역시 부평구 부평동 605-42번지,,437.4,01000,단독주택,19911220.0
5982,인천광역시 부평구 부평동 605-43번지,,1.98,03000,제1종근린생활시설,19801129.0
5983,인천광역시 부평구 부평동 605-43번지,,491.87,03000,제1종근린생활시설,19801129.0
