대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
인천광역시 부평구 부평동 240-2번지,,136.02,01000,단독주택,19930618.0
인천광역시 부평구 부평동 240-3번지,정원아파트,1028.82,02000,공동주택,20020604.0
인천광역시 부평구 부평동 240-40번지,,515.91,01000,단독주택,20090410.0
인천광역시 부평구 부평동 240-41번지,맑은누리,563.78,02000,공동주택,20081224.0
인천광역시 부평구 부평동 240-42번지,맑은누리,696.64,02000,공동주택,20081224.0
인천광역시 부평구 부평동 240-44번지,하이빌,558.52,02000,공동주택,20020419.0
인천광역시 부평구 부평동 240-4번지,하이빌,558.52,02000,공동주택,20020419.0
인천광역시 부평구 부평동 240-5번지,,194.38,03000,제1종근린생활시설,19730626.0
인천광역시 부평구 부평동 240-5번지,,80.99,03000,제1종근린생활시설,19760817.0
인천광역시 부평구 부평동 240-5번지,,130.22,01000,단독주택,19761230.0
인천광역시 부평구 부평동 240-6번지,해피하우스,879.51,02000,공동주택,20090116.0
인천광역시 부평구 부평동 240-7번지,미래씨티,14145.426,07000,판매시설,19960210.0
인천광역시 부평구 부평동 240번지,,46.28,01000,단독주택,19691122.0
인천광역시 부평구 부평동 241-10번지,,57.52,03000,제1종근린생활시설,19740503.0
인천광역시 부평구 부평동 241-11번지,,104.88,03000,제1종근린생활시설,
인천광역시 부평구 부평동 241-13번지,,99.2,03000,제1종근린생활시설,19850715.0
인천광역시 부평구 부평동 241-13번지,,3.6,03000,제1종근린생활시설,19850715.0
인천광역시 부평구 부평동 241-16번지,,724.94,03000,제1종근린생활시설,19900928.0
인천광역시 부평구 부평동 241-1번지,M타워 SIX,12185.65,14000,업무시설,20140905.0
인천광역시 부평구 부평동 241-2번지,DH씨밀레,4170.72,14000,업무시설,20200810.0
인천광역시 부평구 부평동 241-3번지,모던캐슬,4094.39,14000,업무시설,20140507.0
인천광역시 부평구 부평동 241-4번지,,1058.171,04000,제2종근린생활시설,19910823.0
인천광역시 부평구 부평동 241-5번지,,957.79,03000,제1종근린생활시설,19900725.0
인천광역시 부평구 부평동 241-8번지,,115.15,03000,제1종근린생활시설,20150924.0
인천광역시 부평구 부평동 241-9번지,,591.205,03000,제1종근린생활시설,19880215.0
인천광역시 부평구 부평동 241-9번지,,393.925,04000,제2종근린생활시설,19880215.0
인천광역시 부평구 부평동 243-1번지,,72.4,03000,제1종근린생활시설,
인천광역시 부평구 부평동 244-1번지,,9544.1,07000,판매시설,19860531.0
인천광역시 부평구 부평동 247번지,,53.89,03000,제1종근린생활시설,
인천광역시 부평구 부평동 248-13번지,,37.68,03000,제1종근린생활시설,
인천광역시 부평구 부평동 248-13번지,,42.63,03000,제1종근린생활시설,
인천광역시 부평구 부평동 248번지,,775.53,03000,제1종근린생활시설,
인천광역시 부평구 부평동 249-8번지,,90.25,03000,제1종근린생활시설,
인천광역시 부평구 부평동 249번지,,202.31,03000,제1종근린생활시설,
인천광역시 부평구 부평동 250-10번지,,268.6,03000,제1종근린생활시설,19920508.0
인천광역시 부평구 부평동 250-11번지,부민렉스타운,2588.64,14000,업무시설,20120820.0
인천광역시 부평구 부평동 250-12번지,,449.34,14000,업무시설,20021108.0
인천광역시 부평구 부평동 250-13번지,플러스아파트,1762.48,02000,공동주택,20091027.0
인천광역시 부평구 부평동 250-14번지,보현나이스아파트,1748.63,02000,공동주택,20030819.0
인천광역시 부평구 부평동 250-18번지,한승타워2차,6139.48,14000,업무시설,20170728.0
인천광역시 부평구 부평동 250-19번지,,95.94,01000,단독주택,19780216.0
인천광역시 부평구 부평동 250-1번지,,798.84,04000,제2종근린생활시설,19910813.0
인천광역시 부평구 부평동 250-20번지,제이스타운,2374.87,14000,업무시설,20161209.0
인천광역시 부평구 부평동 250-22번지,,91.51,01000,단독주택,19780216.0
인천광역시 부평구 부평동 250-27번지,쌍둥이빌딩,812.89,04000,제2종근린생활시설,19910725.0
인천광역시 부평구 부평동 250-29번지,,702.56,04000,제2종근린생활시설,19910502.0
인천광역시 부평구 부평동 250-2번지,,245.98,01000,단독주택,19781129.0
인천광역시 부평구 부평동 250-2번지,,312.0,01000,단독주택,19781129.0
인천광역시 부평구 부평동 250-32번지,부평깡시장 고객지원센터,184.67,03000,제1종근린생활시설,20100722.0
인천광역시 부평구 부평동 250-33번지,,77.69,01000,단독주택,19730626.0
인천광역시 부평구 부평동 250-35번지,,63.7,01000,단독주택,19740814.0
인천광역시 부평구 부평동 250-39번지,,99.17,01000,단독주택,19720818.0
인천광역시 부평구 부평동 250-3번지,착한느낌,494.94,03000,제1종근린생활시설,20150603.0
인천광역시 부평구 부평동 250-40번지,,268.7,03000,제1종근린생활시설,19810904.0
인천광역시 부평구 부평동 250-4번지,,2825.7,04000,제2종근린생활시설,19850716.0
인천광역시 부평구 부평동 250-5번지,신한아파트,780.88,02000,공동주택,20020722.0
인천광역시 부평구 부평동 250-7번지,,4.85,01000,단독주택,19800807.0
인천광역시 부평구 부평동 250-7번지,,39.96,03000,제1종근린생활시설,19921120.0
인천광역시 부평구 부평동 250-7번지,,154.95,01000,단독주택,19800807.0
인천광역시 부평구 부평동 250-7번지,정원아파트,773.62,02000,공동주택,20020604.0
인천광역시 부평구 부평동 250-8번지,,214.5,03000,제1종근린생활시설,19940520.0
인천광역시 부평구 부평동 250-9번지,,140.83,03000,제1종근린생활시설,19851213.0
인천광역시 부평구 부평동 250-9번지,,55.54,01000,단독주택,19681223.0
