연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자
17,부평,인천광역시 부평구 부평5동 98-64,인천광역시 부평구 부흥북로 89,5,8,260,1981-09-10,2021-09-28
18,백조,인천광역시 부평구 부평5동 466-1,인천광역시 부평구 충선로34번길 4,5,1,30,1985-06-13,2021-09-28
19,삼진,인천광역시 부평구 부평5동 497-2,인천광역시 부평구 부일로 24,5,3,90,1983-09-22,2021-09-28
20,부흥,인천광역시 부평구 부평5동 127-9,인천광역시 부평구 부흥로 362,5,1,32,1978-12-23,2021-09-28
21,유일세라믹,인천광역시 부평구 부평6동 609-7,인천광역시 부평구 장제로27번길 18,11,1,88,1992-12-15,2021-09-28
22,애지앙,인천광역시 부평구 부평6동 612-7외1,인천광역시 부평구 장제로28번길 15,15,1,75,2006-06-19,2021-09-28
23,라일실크빌,인천광역시 부평구 부평동 632-3,인천광역시 부평구 경인로980번길 34,18,1,98,2007-12-07,2021-09-28
24,부평LH1단지(임대),인천광역시 부평구 부평동 937,인천광역시 부평구 동수로120번길 57,15,4,297,2012-07-13,2021-09-28
25,부평LH2단지,인천광역시 부평구 부평동 938,인천광역시 부평구 동수로120번길 43,15,12,704,2012-07-13,2021-09-28
26,진흥,인천광역시 부평구 산곡1동 38-26,인천광역시 부평구 산청로 40,6,4,234,1988-05-14,2021-09-28
27,인우,인천광역시 부평구 산곡1동 63-58,인천광역시 부평구 세월천로81번길 20,5,2,95,1984-12-26,2021-09-28
28,동남,인천광역시 부평구 산곡1동 38-36,인천광역시 부평구 산청로 32,6,2,126,1988-05-19,2021-09-28
29,삼도,인천광역시 부평구 산곡1동 30-10,인천광역시 부평구 산청로 31,5,2,85,1988-11-17,2021-09-28
30,수암,인천광역시 부평구 산곡1동 43-1,인천광역시 부평구 마장로361번길 15,5,4,170,1988-10-18,2021-09-28
31,인천(근로복지공단),인천광역시 부평구 산곡1동 70-8,인천광역시 부평구 산청로17번길 57,5,6,200,1989-07-29,2021-09-28
32,금산,인천광역시 부평구 산곡1동 82-89,인천광역시 부평구 산곡로13번길 38-9,5,3,90,1984-12-29,2021-09-28
33,동원8차(저),인천광역시 부평구 산곡1동 82-118,인천광역시 부평구 원적로287번길 38,5,3,150,1990-02-10,2021-09-28
34,동원6차 (고),인천광역시 부평구 산곡1동 82-36,인천광역시 부평구 길주로326번길 45,10,2,348,1989-05-16,2021-09-28
35,재원,인천광역시 부평구 산곡1동 180-329,인천광역시 부평구 원적로 276,5,7,210,1984-12-24,2021-09-28
36,삼보,인천광역시 부평구 산곡1동 180-116,인천광역시 부평구 원적로 288,5,4,295,1985-11-06,2021-09-28
37,거산,인천광역시 부평구 산곡1동 63-70,인천광역시 부평구 세월천로115번길 21,7,2,72,1997-08-13,2021-09-28
38,산곡현대1차,인천광역시 부평구 산곡1동 179-92,인천광역시 부평구 원적로269번길 15,25,5,384,1999-11-13,2021-09-28
39,산곡현대2차,인천광역시 부평구 산곡1동 179-69,인천광역시 부평구 원적로269번길 55-5,25,1,199,2001-11-13,2021-09-28
40,세창,인천광역시 부평구 산곡1동 65-1,인천광역시 부평구 마곡로 17,14,1,99,2005-08-10,2021-09-28
41,신명스카이뷰,인천광역시 부평구 산곡1동 506,인천광역시 부평구 원적로 270,15,4,191,2007-05-10,2021-09-28
42,경남3차,인천광역시 부평구 산곡2동 145,인천광역시 부평구 마장로272번길 76,15,14,916,1992-11-21,2021-09-28
43,뉴서울2차,인천광역시 부평구 산곡2동 264-1,인천광역시 부평구 부흥로123번길 36,17,4,498,1991-07-27,2021-09-28
44,뉴서울1차,인천광역시 부평구 산곡2동 255-1,인천광역시 부평구 마장로264번길 33,18,6,565,1991-01-29,2021-09-28
45,무지개,인천광역시 부평구 산곡2동 191-3,인천광역시 부평구 마장로264번길 14,15,2,330,1991-01-19,2021-09-28
46,한양2단지,인천광역시 부평구 산곡2동 182,인천광역시 부평구 마장로 287,5,21,720,1985-05-09,2021-09-28
47,대운,인천광역시 부평구 산곡2동 120-8,인천광역시 부평구 마장로324번길 27-8,5,4,90,1985-05-31,2021-09-28
48,한양7차,인천광역시 부평구 산곡2동 155-1,인천광역시 부평구 안남로 231,20,2,320,1992-08-28,2021-09-28
49,경남5차,인천광역시 부평구 산곡2동 261-8,인천광역시 부평구 마장로264번길 66,20,3,308,1992-09-28,2021-09-28
50,산곡한양8차,인천광역시 부평구 산곡2동 185-17,인천광역시 부평구 마장로272번길 20,17,2,208,1993-09-25,2021-09-28
51,한화1차,인천광역시 부평구 산곡2동 124-23,인천광역시 부평구 원적로 361,20,10,744,1997-03-11,2021-09-28
52,한화2차,인천광역시 부평구 산곡2동 124-23,인천광역시 부평구 원적로 361,20,19,1280,1999-12-02,2021-09-28
53,우성5차,인천광역시 부평구 산곡2동 251-2,인천광역시 부평구 부흥로111번길 36,22,3,299,1996-12-19,2021-09-28
54,한신휴,인천광역시 부평구 산곡2동 222,인천광역시 부평구 마장로220번길 13,25,5,703,2003-01-25,2021-09-28
55,프리상뜨,인천광역시 부평구 산곡2동 233-26,인천광역시 부평구 마장로220번길 65,23,3,335,2004-09-30,2021-09-28
56,금호이수마운트밸리,인천광역시 부평구 산곡2동 507,인천광역시 부평구 원적로 344,21,22,1365,2007-11-23,2021-09-28
57,산곡푸르지오,인천광역시 부평구 산곡2동 510,인천광역시 부평구 안남로 269,20,8,765,2011-10-25,2021-09-28
58,산곡현대1단지,인천광역시 부평구 산곡3동 307,인천광역시 부평구 경원대로 1269,15,23,2204,1985-09-30,2021-09-28
59,산곡현대2단지,인천광역시 부평구 산곡3동 311-126,인천광역시 부평구 안남로 91,15,13,1496,1987-05-20,2021-09-28
60,산곡현대3단지,인천광역시 부평구 산곡3동 37-4,인천광역시 부평구 마장로 121,15,14,1200,1989-09-25,2021-09-28
61,우성4차,인천광역시 부평구 산곡3동 306-3,인천광역시 부평구 안남로123번길 46,15,5,494,1991-01-19,2021-09-28
62,현대14차,인천광역시 부평구 산곡3동 311-76,인천광역시 부평구 마장로143번길 17-1,15,1,95,1991-08-31,2021-09-28
63,청하,인천광역시 부평구 산곡3동 370-129,인천광역시 부평구 화랑로47번길 60-5,6,1,84,1990-03-24,2021-09-28
64,선포,인천광역시 부평구 산곡3동 369-192,인천광역시 부평구 화랑로105번길 22,13,1,49,2002-01-09,2021-09-28
65,경남2차,인천광역시 부평구 산곡4동 274,인천광역시 부평구 안남로222번길 30,15,8,690,1991-07-12,2021-09-28
66,"우성1,2,3차",인천광역시 부평구 산곡4동 294-35(293),인천광역시 부평구 부영로 165,15,16,1980,1989-08-28,2021-09-28
67,부성,인천광역시 부평구 산곡4동 135-4,인천광역시 부평구 원적로 442,5,2,120,1985-03-18,2021-09-28
68,한신,인천광역시 부평구 산곡4동 137-3,인천광역시 부평구 원적로416번길 20,14,4,542,1986-10-30,2021-09-28
69,경남1차,인천광역시 부평구 산곡4동 142-3,인천광역시 부평구 안남로222번길 27,15,7,810,1990-12-19,2021-09-28
