BAS_ID,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균영업기간,평균폐업기간,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 비율,근린생활시설 비율,단독주택 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,(주거인구+직장인구) / 유동인구,주거인구/직장인구,10_30 / 40_60,점포밀도
21365,0.037586,225.4749154,2251.89872,0.109063016,1.046665942,31.61205813,96.771,0.0,177.721194364,127.793178497125,0.5110664834363186,0.0498032601574637,363.6153846,2.0,36.9,20.1,0,71415.55172,665451.7241,-868021.0759,0.151616064,0.562936416,0.28544752,1.9251211907908183,2.1774844871094983,2.0963525794641384,1303.6769009737668,2.191491196,1.61418033,211621.9697,0.115557389,2.066989393,0.624719534,61.87755102040816
21366,0.036056,193.7896951,2028.815834,0.10688919,1.093648608,40.90847169,110.1051538,425.0,41.90701307081481,72.34645474,0.3794699456192037,0.0843433333131527,268.8846154,5.1,1.3,0.1,0,1445999.724,1429580.345,1403694.638,0.145824964,0.17326886,0.680906176,0.0,2.044931174849592,1.9061547465398487,665.6312402928778,2.1901486,1.728775946,245378.5714,0.43503771,12.59761544,0.658396974,35.833333333333336
21367,0.228448,433.24279,5042.136816,0.094211577,1.099476636,23.91236252,125.875,168.325,177.37804337166668,208.9242078942857,1.9088757620887515,0.1166937196441827,466.3478261,61.4,24.3,14.4,588,-618013.3333,-41160.0,-280364.2586,0.198675329,0.018118426,0.783206245,0.6365141682948128,1.6674619334292946,1.559581156259877,83.16991175234627,2.244105848,1.861147961,86329.74684,1.0180471,26.37907789,0.518824596,18.473684210526315
21368,0.218311,302.0747625,3370.850035,0.088328728,1.013514268,5.18035304,79.951,-172.098,166.06501160789998,158.7953853382353,1.77285559452263,0.0764711576401469,376.2142857,76.7,11.3,12.0,583,-689495.969,-53299.06345,-1271574.796,0.248291382,0.332423088,0.41928553,1.696375010020814,1.8713684183022576,2.3011113310428466,444.32025871348674,2.227329779,1.885385797,98608.75,0.309573332,7.710604559,0.509767151,39.75257731958763
21369,0.155759,840.0106818,10001.09704,0.102437088,1.200199535,32.10365575,148.5751765,0.0,226.75869604726086,244.49290540399997,1.6885385053528978,0.0584823116857837,434.0428571,9.7,45.1,43.1,0,-188885.6897,-682548.9241,-2823309.328,0.28153922,0.219465499,0.498995282,1.6646564243788062,1.711503416583208,2.671001730251532,1720.6068349180464,2.187641506,1.973247875,74980.03452,0.123371824,2.561428666,0.502654213,65.33208955223881
21370,0.087804,250.005378,3031.07877,0.108981451,1.278375756,33.56173972,268.9485714,1006.25,138.62543378790002,82.573284124,1.7877075025322986,0.0601687888296668,292.6923077,39.1,60.0,0.9,720,-3879752.703,833616.2931,-2382068.48,0.689709223,0.086930534,0.223360243,1.6294310001611438,2.233722076050663,2.026229622995292,774.4521889663341,2.149115516,1.716606113,105842.5,0.217547501,7.826887925,0.51301798,34.13235294117647
21371,0.276454,254.133267,2766.003388,0.086290027,0.941896898,11.01667255,171.0595,116.7908,155.17361752792684,136.19992197388888,1.901503186557064,0.0404689059527728,371.6019417,64.0,22.7,13.3,696,-254704.5,-706750.1931,-3612937.195,0.101644342,0.17670635,0.721649308,1.6762349391347309,2.0759134386631395,1.90853528164356,267.6756350061855,2.217672094,1.762640574,52661.15702,0.318259431,5.566451074,0.536671522,55.02702702702703
21372,1.103883,283.3505818,2786.257632,0.09807418,0.96066444,3.933843906,230.0838,0.0,,,1.8245196899768703,0.0761653899189935,375.5,0.0,62.4,37.6,0,-525200.0,24751.85185,,,,,0.0,0.0,0.0,3.623572425700913,2.073950798,1.675733765,51766.66667,0.002197231,0.0,0.50626994,28.5
21373,0.07103,156.1622417,1772.821535,0.087121327,1.021720841,15.11489523,90.79270588,766.667,252.74714743666667,,0.9677813433062858,0.0635254632589162,348.3916667,38.7,12.2,49.2,49,,175906.2069,276226.6034,,0.102306785,0.897693215,1.0986122886681096,2.1065773332321154,1.7782333057997075,422.35675066873154,2.046172331,1.820431427,47081.92308,0.526951179,15.60891866,0.532702229,26.633333333333333
21374,0.198816,140.1360696,1592.683469,0.079992948,0.96307618,2.672857058,114.4406,268.75,192.4609241527273,188.3241956,0.7911570776164889,0.1362747008611176,356.5925926,71.3,6.7,22.0,84,-33829.55172,43840.92727,244323.8448,0.871454972,0.019763505,0.108781522,1.2130075659799042,1.3321790402101223,1.5607104090414063,95.56574923547402,2.058283638,1.719359962,46578.125,0.553758253,13.47575115,0.594771707,8.473684210526315
