대지위치,연면적,주용도코드,주용도코드명,사용승인일,건물노후도,address,latitude,longitude
인천광역시 부평구 부평동 10-230번지,328.8,01000,단독주택,1993-10-13,336,인천광역시 부평구 부평동 10-230번지,37.5037344,126.7259759
인천광역시 부평구 부평동 10-233번지,823.56,02000,공동주택,2015-05-21,77,인천광역시 부평구 부평동 10-233번지,37.5036851,126.7266391
인천광역시 부평구 부평동 10-234번지,559.96,02000,공동주택,1994-02-21,332,인천광역시 부평구 부평동 10-234번지,37.5037134,126.7262661
인천광역시 부평구 부평동 10-235번지,73.65,01000,단독주택,1975-04-26,558,인천광역시 부평구 부평동 10-235번지,37.5035126,126.7264374
인천광역시 부평구 부평동 10-236번지,82.81,01000,단독주택,1977-01-17,537,인천광역시 부평구 부평동 10-236번지,37.5035718,126.7262809
인천광역시 부평구 부평동 10-239번지,657.67,02000,공동주택,2010-11-25,133,인천광역시 부평구 부평동 10-239번지,37.5041622,126.7285085
인천광역시 부평구 부평동 10-241번지,389.43,02000,공동주택,2001-05-04,245,인천광역시 부평구 부평동 10-241번지,37.5041782,126.7282547
인천광역시 부평구 부평동 10-242번지,198.88,01000,단독주택,1993-07-22,339,인천광역시 부평구 부평동 10-242번지,37.504223,126.7281128
인천광역시 부평구 부평동 10-244번지,430.4,03000,제1종근린생활시설,1993-07-22,339,인천광역시 부평구 부평동 10-244번지,37.5042219,126.7276825
인천광역시 부평구 부평동 10-245번지,174.08,01000,단독주택,1975-12-02,554,인천광역시 부평구 부평동 10-245번지,37.5042353,126.7274483
인천광역시 부평구 부평동 10-246번지,539.14,02000,공동주택,1997-10-02,288,인천광역시 부평구 부평동 10-246번지,37.5042321,126.7272571
인천광역시 부평구 부평동 10-247번지,625.0,02000,공동주택,2008-06-12,160,인천광역시 부평구 부평동 10-247번지,37.5042647,126.7270672
인천광역시 부평구 부평동 10-248번지,73.95,01000,단독주택,1977-09-01,529,인천광역시 부평구 부평동 10-248번지,37.5042828,126.7268246
인천광역시 부평구 부평동 10-249번지,736.36,02000,공동주택,2014-08-06,86,인천광역시 부평구 부평동 10-249번지,37.5042944,126.7266859
인천광역시 부평구 부평동 10-250번지,214.68,01000,단독주택,2019-02-26,32,인천광역시 부평구 부평동 10-250번지,37.5043044,126.7265446
인천광역시 부평구 부평동 10-251번지,324.56,02000,공동주택,1991-01-09,369,인천광역시 부평구 부평동 10-251번지,37.5043221,126.7263443
인천광역시 부평구 부평동 10-252번지,181.86,01000,단독주택,2002-11-08,229,인천광역시 부평구 부평동 10-252번지,37.504104,126.7260946
인천광역시 부평구 부평동 10-253번지,547.4,02000,공동주택,1993-06-11,340,인천광역시 부평구 부평동 10-253번지,37.504103,126.72623
인천광역시 부평구 부평동 10-254번지,328.4,02000,공동주택,1991-01-22,369,인천광역시 부평구 부평동 10-254번지,37.5040805,126.7265354
인천광역시 부평구 부평동 10-255번지,238.52,01000,단독주택,1992-08-31,350,인천광역시 부평구 부평동 10-255번지,37.5040561,126.7268429
인천광역시 부평구 부평동 10-257번지,279.51,01000,단독주택,1991-11-27,361,인천광역시 부평구 부평동 10-257번지,37.5040252,126.7272611
인천광역시 부평구 부평동 10-258번지,649.54,02000,공동주택,1998-04-08,282,인천광역시 부평구 부평동 10-258번지,37.5040117,126.7274092
인천광역시 부평구 부평동 10-259번지,330.54,01000,단독주택,1991-04-18,366,인천광역시 부평구 부평동 10-259번지,37.5040224,126.7277106
인천광역시 부평구 부평동 10-25번지,55.54,01000,단독주택,1974-04-23,570,인천광역시 부평구 부평동 10-25번지,37.5033099,126.7257788
인천광역시 부평구 부평동 10-260번지,394.5,02000,공동주택,2001-09-21,241,인천광역시 부평구 부평동 10-260번지,37.5039642,126.7279583
인천광역시 부평구 부평동 10-261번지,394.5,02000,공동주택,2001-09-21,241,인천광역시 부평구 부평동 10-261번지,37.5039566,126.7280639
인천광역시 부평구 부평동 10-262번지,686.03,02000,공동주택,2013-12-11,98,인천광역시 부평구 부평동 10-262번지,37.5039222,126.7285009
인천광역시 부평구 부평동 10-264번지,284.88,01000,단독주택,1996-04-18,306,인천광역시 부평구 부평동 10-264번지,37.5039431,126.7287241
인천광역시 부평구 부평동 10-265번지,350.54,01000,단독주택,2020-07-29,15,인천광역시 부평구 부평동 10-265번지,37.5037522,126.7286229
인천광역시 부평구 부평동 10-266번지,658.9,02000,공동주택,2010-07-22,135,인천광역시 부평구 부평동 10-266번지,37.5037645,126.7284498
인천광역시 부평구 부평동 10-267번지,327.0,02000,공동주택,2001-10-26,240,인천광역시 부평구 부평동 10-267번지,37.5037769,126.7282823
인천광역시 부평구 부평동 10-268번지,656.15,02000,공동주택,2011-12-23,122,인천광역시 부평구 부평동 10-268번지,37.5037906,126.7281089
인천광역시 부평구 부평동 10-269번지,280.17,01000,단독주택,1991-02-22,368,인천광역시 부평구 부평동 10-269번지,37.5038093,126.7278311
인천광역시 부평구 부평동 10-270번지,991.6,02000,공동주택,2011-04-25,126,인천광역시 부평구 부평동 10-270번지,37.5038284,126.7276346
인천광역시 부평구 부평동 10-271번지,658.7,02000,공동주택,1994-06-11,328,인천광역시 부평구 부평동 10-271번지,37.5038485,126.7273932
인천광역시 부평구 부평동 10-272번지,653.76,02000,공동주택,2016-04-04,66,인천광역시 부평구 부평동 10-272번지,37.5038623,126.7271997
인천광역시 부평구 부평동 10-273번지,277.91,01000,단독주택,1991-08-19,362,인천광역시 부평구 부평동 10-273번지,37.503874,126.7270473
인천광역시 부평구 부평동 10-273번지,57.95,01000,단독주택,1975-11-08,553,인천광역시 부평구 부평동 10-273번지,37.503874,126.7270473
인천광역시 부평구 부평동 10-274번지,74.21,01000,단독주택,1976-07-30,543,인천광역시 부평구 부평동 10-274번지,37.5038888,126.7268396
인천광역시 부평구 부평동 10-284번지,367.83,02000,공동주택,2002-05-04,233,인천광역시 부평구 부평동 10-284번지,37.5036665,126.7269022
인천광역시 부평구 부평동 10-285번지,367.83,02000,공동주택,2002-05-04,233,인천광역시 부평구 부평동 10-285번지,37.5036513,126.7271074
인천광역시 부평구 부평동 10-286번지,599.26,02000,공동주택,1991-08-13,362,인천광역시 부평구 부평동 10-286번지,37.5036307,126.7273644
인천광역시 부평구 부평동 10-287번지,704.58,02000,공동주택,2008-04-28,162,인천광역시 부평구 부평동 10-287번지,37.5036065,126.7276522
인천광역시 부평구 부평동 10-288번지,276.21,01000,단독주택,1996-02-14,308,인천광역시 부평구 부평동 10-288번지,37.5035963,126.7278008
인천광역시 부평구 부평동 10-289번지,378.09,02000,공동주택,2001-12-07,242,인천광역시 부평구 부평동 10-289번지,37.5035885,126.7279045
인천광역시 부평구 부평동 10-290번지,881.73,02000,공동주택,2015-02-12,80,인천광역시 부평구 부평동 10-290번지,37.5035771,126.7280709
인천광역시 부평구 부평동 10-291번지,364.08,02000,공동주택,1994-06-23,328,인천광역시 부평구 부평동 10-291번지,37.503565,126.7282437
인천광역시 부평구 부평동 10-292번지,561.03,02000,공동주택,1994-02-08,332,인천광역시 부평구 부평동 10-292번지,37.5035416,126.7283786
인천광역시 부평구 부평동 10-293번지,528.66,02000,공동주택,2010-12-01,134,인천광역시 부평구 부평동 10-293번지,37.5035312,126.7285271
인천광역시 부평구 부평동 10-294번지,633.49,02000,공동주택,2010-06-24,136,인천광역시 부평구 부평동 10-294번지,37.5035181,126.7286638
인천광역시 부평구 부평동 10-295번지,173.71,01000,단독주택,1986-02-25,428,인천광역시 부평구 부평동 10-295번지,37.5033831,126.7286577
인천광역시 부평구 부평동 10-298번지,61.49,01000,단독주택,1976-04-09,546,인천광역시 부평구 부평동 10-298번지,37.5034245,126.7282083
인천광역시 부평구 부평동 10-301번지,3.31,01000,단독주택,1977-09-12,529,인천광역시 부평구 부평동 10-301번지,37.5034772,126.7276353
인천광역시 부평구 부평동 10-302번지,275.1,01000,단독주택,1989-06-05,388,인천광역시 부평구 부평동 10-302번지,37.5035017,126.7273715
인천광역시 부평구 부평동 10-303번지,5.26,01000,단독주택,1977-03-16,535,인천광역시 부평구 부평동 10-303번지,37.5035073,126.7272023
인천광역시 부평구 부평동 10-304번지,652.61,02000,공동주택,2003-07-04,219,인천광역시 부평구 부평동 10-304번지,37.5034706,126.727052
인천광역시 부평구 부평동 10-305번지,66.35,01000,단독주택,1976-10-07,540,인천광역시 부평구 부평동 10-305번지,37.5035171,126.7269119
인천광역시 부평구 부평동 10-307번지,628.0,02000,공동주택,2012-02-09,116,인천광역시 부평구 부평동 10-307번지,37.5035042,126.7265877
인천광역시 부평구 부평동 10-30번지,336.45,01000,단독주택,2014-01-28,93,인천광역시 부평구 부평동 10-30번지,37.5031067,126.7286022
인천광역시 부평구 부평동 10-311번지,408.62,01000,단독주택,2002-07-25,231,인천광역시 부평구 부평동 10-311번지,37.5041441,126.7287794
인천광역시 부평구 부평동 10-314번지,218.99,04000,제2종근린생활시설,1999-06-09,268,인천광역시 부평구 부평동 10-314번지,37.5039119,126.7334668
인천광역시 부평구 부평동 10-315번지,923.35,04000,제2종근린생활시설,2004-08-05,206,인천광역시 부평구 부평동 10-315번지,37.5039178,126.7333068
인천광역시 부평구 부평동 10-320번지,65.71,04000,제2종근린생활시설,1998-03-27,283,인천광역시 부평구 부평동 10-320번지,37.5039556,126.7329551
인천광역시 부평구 부평동 10-322번지,328.68,02000,공동주택,1991-10-22,360,인천광역시 부평구 부평동 10-322번지,37.5038704,126.7328608
인천광역시 부평구 부평동 10-327번지,656.2,02000,공동주택,2003-04-22,222,인천광역시 부평구 부평동 10-327번지,37.5032814,126.726164
인천광역시 부평구 부평동 10-329번지,322.84,04000,제2종근린생활시설,1995-10-09,312,인천광역시 부평구 부평동 10-329번지,37.5031562,126.7257311
인천광역시 부평구 부평동 10-32번지,56.13,01000,단독주택,1976-07-07,543,인천광역시 부평구 부평동 10-32번지,37.5039476,126.7266159
인천광역시 부평구 부평동 10-332번지,570.3,04000,제2종근린생활시설,1989-09-22,385,인천광역시 부평구 부평동 10-332번지,37.5029447,126.7256774
인천광역시 부평구 부평동 10-337번지,610.33,02000,공동주택,1993-09-14,337,인천광역시 부평구 부평동 10-337번지,37.502984,126.7280016
인천광역시 부평구 부평동 10-338번지,370.32,01000,단독주택,2018-11-19,37,인천광역시 부평구 부평동 10-338번지,37.5031503,126.7279438
인천광역시 부평구 부평동 10-339번지,727.15,02000,공동주택,2007-08-14,170,인천광역시 부평구 부평동 10-339번지,37.5030026,126.7277864
인천광역시 부평구 부평동 10-340번지,611.83,02000,공동주택,2002-11-07,229,인천광역시 부평구 부평동 10-340번지,37.5030215,126.7275806
인천광역시 부평구 부평동 10-341번지,640.79,02000,공동주택,2003-03-04,223,인천광역시 부평구 부평동 10-341번지,37.503199,126.7273172
인천광역시 부평구 부평동 10-343번지,524.99,02000,공동주택,2002-11-21,229,인천광역시 부평구 부평동 10-343번지,37.503045,126.7273134
인천광역시 부평구 부평동 10-344번지,659.84,02000,공동주택,2020-07-21,15,인천광역시 부평구 부평동 10-344번지,37.5030653,126.7269855
인천광역시 부평구 부평동 10-345번지,659.02,02000,공동주택,2012-09-17,109,인천광역시 부평구 부평동 10-345번지,37.5032449,126.726666
인천광역시 부평구 부평동 10-346번지,396.88,04000,제2종근린생활시설,2019-04-18,30,인천광역시 부평구 부평동 10-346번지,37.5032624,126.7265173
인천광역시 부평구 부평동 10-348번지,264.39,01000,단독주택,2001-06-18,244,인천광역시 부평구 부평동 10-348번지,37.5031077,126.7263946
인천광역시 부평구 부평동 10-349번지,657.76,02000,공동주택,2018-12-05,38,인천광역시 부평구 부평동 10-349번지,37.5030963,126.7265441
인천광역시 부평구 부평동 10-351번지,402.84,01000,단독주택,1988-09-22,397,인천광역시 부평구 부평동 10-351번지,37.5030841,126.7267203
인천광역시 부평구 부평동 10-352번지,633.33,02000,공동주택,1998-08-04,278,인천광역시 부평구 부평동 10-352번지,37.5028418,126.7270412
인천광역시 부평구 부평동 10-354번지,437.15,04000,제2종근린생활시설,1992-11-18,349,인천광역시 부평구 부평동 10-354번지,37.5028661,126.7272786
인천광역시 부평구 부평동 10-355번지,350.49,01000,단독주택,2002-06-11,232,인천광역시 부평구 부평동 10-355번지,37.5028404,126.7275745
인천광역시 부평구 부평동 10-356번지,21.58,01000,단독주택,1977-02-02,536,인천광역시 부평구 부평동 10-356번지,37.5027607,126.7275635
인천광역시 부평구 부평동 10-356번지,271.07,01000,단독주택,1990-11-30,373,인천광역시 부평구 부평동 10-356번지,37.5027607,126.7275635
인천광역시 부평구 부평동 10-357번지,328.44,02000,공동주택,1990-01-23,381,인천광역시 부평구 부평동 10-357번지,37.5026134,126.7276963
인천광역시 부평구 부평동 10-358번지,654.05,02000,공동주택,2001-05-28,245,인천광역시 부평구 부평동 10-358번지,37.5027891,126.7277414
인천광역시 부평구 부평동 10-359번지,570.66,01000,단독주택,1994-03-22,331,인천광역시 부평구 부평동 10-359번지,37.5027252,126.728324
인천광역시 부평구 부평동 10-360번지,646.04,02000,공동주택,2002-09-19,229,인천광역시 부평구 부평동 10-360번지,37.5027151,126.728461
인천광역시 부평구 부평동 10-361번지,153.09,01000,단독주택,2000-07-05,255,인천광역시 부평구 부평동 10-361번지,37.5027528,126.7285985
인천광역시 부평구 부평동 10-362번지,80.89,01000,단독주택,1983-10-13,456,인천광역시 부평구 부평동 10-362번지,37.5025369,126.7284814
인천광역시 부평구 부평동 10-363번지,355.6,02000,공동주택,2001-12-03,242,인천광역시 부평구 부평동 10-363번지,37.5025458,126.7283683
인천광역시 부평구 부평동 10-364번지,307.41,02000,공동주택,1991-09-06,361,인천광역시 부평구 부평동 10-364번지,37.5025523,126.7282542
인천광역시 부평구 부평동 10-365번지,352.76,01000,단독주택,1995-04-25,318,인천광역시 부평구 부평동 10-365번지,37.5025663,126.7281423
인천광역시 부평구 부평동 10-370번지,649.48,02000,공동주택,2002-09-19,229,인천광역시 부평구 부평동 10-370번지,37.5032254,126.7269577
인천광역시 부평구 부평동 10-371번지,182.32,01000,단독주택,1984-08-01,446,인천광역시 부평구 부평동 10-371번지,37.5031633,126.7278228
인천광역시 부평구 부평동 10-372번지,591.2,02000,공동주택,1992-04-20,354,인천광역시 부평구 부평동 10-372번지,37.5032131,126.7271376
인천광역시 부평구 부평동 10-373번지,650.36,02000,공동주택,2008-04-04,162,인천광역시 부평구 부평동 10-373번지,37.503267,126.7263656
인천광역시 부평구 부평동 10-374번지,628.28,02000,공동주택,2001-11-05,241,인천광역시 부평구 부평동 10-374번지,37.5027471,126.7280396
인천광역시 부평구 부평동 10-375번지,222.3,01000,단독주택,2009-01-29,153,인천광역시 부평구 부평동 10-375번지,37.5025768,126.7279227
인천광역시 부평구 부평동 10-376번지,297.33,01000,단독주택,2019-01-31,33,인천광역시 부평구 부평동 10-376번지,37.5026027,126.7278113
인천광역시 부평구 부평동 10-377번지,622.3,02000,공동주택,1998-02-20,284,인천광역시 부평구 부평동 10-377번지,37.5032956,126.7259642
인천광역시 부평구 부평동 10-379번지,353.07,02000,공동주택,2010-04-08,138,인천광역시 부평구 부평동 10-379번지,37.5031715,126.7277037
인천광역시 부평구 부평동 10-380번지,521.54,02000,공동주택,2011-04-04,126,인천광역시 부평구 부평동 10-380번지,37.5031791,126.727577
인천광역시 부평구 부평동 10-382번지,639.58,02000,공동주택,2001-11-05,241,인천광역시 부평구 부평동 10-382번지,37.5027366,126.7281838
인천광역시 부평구 부평동 10-383번지,653.76,02000,공동주택,2003-05-02,221,인천광역시 부평구 부평동 10-383번지,37.5035396,126.7259688
인천광역시 부평구 부평동 10-388번지,566.22,02000,공동주택,2002-03-15,235,인천광역시 부평구 부평동 10-388번지,37.5031267,126.7281944
인천광역시 부평구 부평동 10-389번지,341.69,02000,공동주택,2002-01-24,237,인천광역시 부평구 부평동 10-389번지,37.5034163,126.727207
인천광역시 부평구 부평동 10-393번지,283.41,01000,단독주택,1992-07-13,351,인천광역시 부평구 부평동 10-393번지,37.5036738,126.7267962
인천광역시 부평구 부평동 10-394번지,169.9,03000,제1종근린생활시설,1986-12-29,422,인천광역시 부평구 부평동 10-394번지,37.5026562,126.7285952
인천광역시 부평구 부평동 10-397번지,657.0,02000,공동주택,2011-02-10,128,인천광역시 부평구 부평동 10-397번지,37.5039373,126.7283104
인천광역시 부평구 부평동 10-400번지,300.24,01000,단독주택,1994-12-28,326,인천광역시 부평구 부평동 10-400번지,37.5040327,126.7271573
인천광역시 부평구 부평동 10-402번지,61.45,01000,단독주택,1976-04-09,546,인천광역시 부평구 부평동 10-402번지,37.5033259,126.7282092
인천광역시 부평구 부평동 10-403번지,536.14,02000,공동주택,2002-10-24,228,인천광역시 부평구 부평동 10-403번지,37.5033941,126.72807
인천광역시 부평구 부평동 10-405번지,656.66,02000,공동주택,2001-12-20,242,인천광역시 부평구 부평동 10-405번지,37.5034443,126.7279321
인천광역시 부평구 부평동 10-407번지,635.67,02000,공동주택,2002-05-14,233,인천광역시 부평구 부평동 10-407번지,37.5033607,126.7277787
인천광역시 부평구 부평동 10-410번지,414.6,02000,공동주택,2009-01-28,153,인천광역시 부평구 부평동 10-410번지,37.5033776,126.7276243
인천광역시 부평구 부평동 10-411번지,559.01,02000,공동주택,1993-12-24,338,인천광역시 부평구 부평동 10-411번지,37.5037002,126.7264456
인천광역시 부평구 부평동 10-413번지,1.4,01000,단독주택,1986-11-26,421,인천광역시 부평구 부평동 10-413번지,37.5032899,126.728646
인천광역시 부평구 부평동 10-414번지,338.44,01000,단독주택,2019-01-04,33,인천광역시 부평구 부평동 10-414번지,37.5038967,126.7267406
인천광역시 부평구 부평동 10-415번지,425.2,02000,공동주택,2001-05-09,245,인천광역시 부평구 부평동 10-415번지,37.5030945,126.7284915
인천광역시 부평구 부평동 10-416번지,174.78,03000,제1종근린생활시설,1986-11-24,421,인천광역시 부평구 부평동 10-416번지,37.5029299,126.7286273
인천광역시 부평구 부평동 10-417번지,74.87,01000,단독주택,1976-08-30,542,인천광역시 부평구 부평동 10-417번지,37.50294,126.7285164
인천광역시 부평구 부평동 10-418번지,55.87,01000,단독주택,1976-06-28,544,인천광역시 부평구 부평동 10-418번지,37.5038637,126.7266107
인천광역시 부평구 부평동 10-419번지,53.55,01000,단독주택,1976-06-28,544,인천광역시 부평구 부평동 10-419번지,37.5038744,126.7264598
인천광역시 부평구 부평동 10-420번지,484.74,02000,공동주택,2009-11-10,145,인천광역시 부평구 부평동 10-420번지,37.5038848,126.7263094
인천광역시 부평구 부평동 10-421번지,56.09,01000,단독주택,1976-07-07,543,인천광역시 부평구 부평동 10-421번지,37.5039579,126.7264636
인천광역시 부평구 부평동 10-423번지,224.28,01000,단독주택,1995-12-20,314,인천광역시 부평구 부평동 10-423번지,37.5034284,126.7268776
인천광역시 부평구 부평동 10-424번지,367.83,02000,공동주택,2002-05-04,233,인천광역시 부평구 부평동 10-424번지,37.5036578,126.7270063
인천광역시 부평구 부평동 10-425번지,547.4,02000,공동주택,1993-05-19,341,인천광역시 부평구 부평동 10-425번지,37.5040902,126.7263926
인천광역시 부평구 부평동 10-427번지,516.44,02000,공동주택,2002-03-15,235,인천광역시 부평구 부평동 10-427번지,37.5031581,126.7283508
인천광역시 부평구 부평동 10-430번지,187.87,01000,단독주택,1985-08-03,434,인천광역시 부평구 부평동 10-430번지,37.5037441,126.7287371
인천광역시 부평구 부평동 10-431번지,212.03,01000,단독주택,1993-08-03,338,인천광역시 부평구 부평동 10-431번지,37.5041478,126.728127
인천광역시 부평구 부평동 10-433번지,0.81,01000,단독주택,1989-11-11,385,인천광역시 부평구 부평동 10-433번지,37.5034864,126.7262585
인천광역시 부평구 부평동 10-436번지,267.93,01000,단독주택,1988-08-17,398,인천광역시 부평구 부평동 10-436번지,37.5036432,126.7272082
인천광역시 부평구 부평동 10-438번지,322.4,01000,단독주택,1990-11-20,373,인천광역시 부평구 부평동 10-438번지,37.5040644,126.7267391
인천광역시 부평구 부평동 10-439번지,748.2,04000,제2종근린생활시설,1991-07-08,363,인천광역시 부평구 부평동 10-439번지,37.5042535,126.7297192
인천광역시 부평구 부평동 10-43번지,183.79,03000,제1종근린생활시설,1986-08-28,422,인천광역시 부평구 부평동 10-43번지,37.5037682,126.7335549
인천광역시 부평구 부평동 10-452번지,199.71,01000,단독주택,1993-08-04,338,인천광역시 부평구 부평동 10-452번지,37.5051277,126.7295607
인천광역시 부평구 부평동 10-454번지,60.4,01000,단독주택,1977-12-20,530,인천광역시 부평구 부평동 10-454번지,37.5063194,126.7298299
인천광역시 부평구 부평동 10-456번지,368.8,01000,단독주택,1991-08-23,362,인천광역시 부평구 부평동 10-456번지,37.506336,126.7301094
인천광역시 부평구 부평동 10-457번지,245.225,01000,단독주택,1988-10-27,396,인천광역시 부평구 부평동 10-457번지,37.506305,126.7304405
인천광역시 부평구 부평동 10-459번지,174.66,03000,제1종근린생활시설,1988-11-19,397,인천광역시 부평구 부평동 10-459번지,37.5062881,126.7307239
인천광역시 부평구 부평동 10-459번지,1.44,01000,단독주택,1988-11-19,397,인천광역시 부평구 부평동 10-459번지,37.5062881,126.7307239
인천광역시 부평구 부평동 10-460번지,330.46,02000,공동주택,2001-06-11,244,인천광역시 부평구 부평동 10-460번지,37.5058197,126.7298908
