대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 481-8번지,,415.64,01000,단독주택,1994-09-13,298
인천광역시 부평구 부평동 481-9번지,,652.02,02000,공동주택,2000-09-29,226
인천광역시 부평구 부평동 482-2번지,우리드란,9012.9,14000,업무시설,2016-08-09,40
인천광역시 부평구 부평동 482-5번지,센트럴빌,7951.73,02000,공동주택,2016-06-24,41
인천광역시 부평구 부평동 482-6번지,청호아파트,613.55,02000,공동주택,2001-12-14,212
인천광역시 부평구 부평동 483-1번지,형도빌라,523.58,02000,공동주택,1996-01-03,282
인천광역시 부평구 부평동 483-2번지,태진 더 플레이스 1차,6495.56,14000,업무시설,2017-03-30,32
인천광역시 부평구 부평동 483-3번지,일신빌라,651.49,02000,공동주택,2001-05-15,219
인천광역시 부평구 부평동 483-4번지,삼정맨션,761.19,02000,공동주택,2001-06-28,218
인천광역시 부평구 부평동 484-1번지,삼정그린빌,753.01,02000,공동주택,2001-08-07,216
인천광역시 부평구 부평동 484-2번지,동양빌라,658.35,02000,공동주택,1995-02-17,293
인천광역시 부평구 부평동 484-3번지,,779.4,02000,공동주택,2011-12-16,94
인천광역시 부평구 부평동 484-4번지,스프링스빌,852.63,02000,공동주택,2010-06-07,112
인천광역시 부평구 부평동 484-6번지,스프링스빌,645.42,02000,공동주택,2010-06-04,112
인천광역시 부평구 부평동 487-3번지,,53.22,01000,단독주택,1970-09-02,581
인천광역시 부평구 부평동 487-3번지,,21.49,01000,단독주택,1972-09-15,557
인천광역시 부평구 부평동 488-1번지,대성아트빌,644.14,02000,공동주택,2001-08-03,216
인천광역시 부평구 부평동 488-2번지,,493.62,01000,단독주택,1994-12-27,294
인천광역시 부평구 부평동 488-5번지,,494.83,01000,단독주택,1997-10-25,261
인천광역시 부평구 부평동 488번지,,452.9,01000,단독주택,1997-05-30,266
인천광역시 부평구 부평동 489-10번지,,45.24,01000,단독주택,1983-03-18,433
인천광역시 부평구 부평동 489-12번지,유림탑스빌,818.256,02000,공동주택,2012-09-07,86
인천광역시 부평구 부평동 489-1번지,수호파크빌,616.84,02000,공동주택,2012-09-26,85
인천광역시 부평구 부평동 489-2번지,드림빌리지,610.0,02000,공동주택,2001-06-19,218
인천광역시 부평구 부평동 489-4번지,,460.08,04000,제2종근린생활시설,1990-11-06,343
인천광역시 부평구 부평동 489-6번지,헤렌하우스,1071.95,02000,공동주택,2013-10-21,73
인천광역시 부평구 부평동 48번지,,37.02,01000,단독주택,1964-06-05,654
인천광역시 부평구 부평동 490-11번지,,492.68,04000,제2종근린생활시설,2002-01-24,211
인천광역시 부평구 부평동 490-12번지,,154.84,04000,제2종근린생활시설,1994-07-16,300
인천광역시 부평구 부평동 490-14번지,대성아트빌,406.7,02000,공동주택,2002-04-26,208
인천광역시 부평구 부평동 490-1번지,,233.05,03000,제1종근린생활시설,1989-05-23,360
인천광역시 부평구 부평동 490-2번지,,60.1,01000,단독주택,1976-01-17,517
인천광역시 부평구 부평동 490-3번지,,199.01,01000,단독주택,1991-05-29,336
인천광역시 부평구 부평동 490-4번지,대산빌라,484.48,02000,공동주택,2001-04-26,220
인천광역시 부평구 부평동 490-5번지,,1.0,01000,단독주택,1976-01-17,517
인천광역시 부평구 부평동 490-6번지,,910.28,02000,공동주택,2002-09-13,203
인천광역시 부평구 부평동 490-7번지,,294.0,01000,단독주택,1995-04-12,291
인천광역시 부평구 부평동 490-8번지,,440.84,01000,단독주택,2001-08-23,216
인천광역시 부평구 부평동 490-9번지,,649.32,02000,공동주택,2000-10-11,226
인천광역시 부평구 부평동 491-1번지,하비스트3,4072.025,14000,업무시설,2017-04-27,31
인천광역시 부평구 부평동 491-3번지,대명아트빌,701.67,02000,공동주택,2002-09-04,204
인천광역시 부평구 부평동 492-10번지,한결 아파트,4870.06,02000,공동주택,2015-04-16,55
인천광역시 부평구 부평동 492-15번지,,546.71,03000,제1종근린생활시설,1986-08-07,393
인천광역시 부평구 부평동 492-1번지,송림주택,929.1,02000,공동주택,2001-12-29,212
인천광역시 부평구 부평동 492-2번지,한결아파트,5184.9,14000,업무시설,2015-01-28,58
인천광역시 부평구 부평동 492-3번지,,455.26,03000,제1종근린생활시설,1998-11-05,249
인천광역시 부평구 부평동 492-5번지,,1115.64,02000,공동주택,2002-08-24,204
인천광역시 부평구 부평동 492-7번지,,557.35,01000,단독주택,2002-10-23,202
인천광역시 부평구 부평동 492-8번지,지선아파트,906.31,02000,공동주택,2002-01-30,211
인천광역시 부평구 부평동 492번지,,61.36,01000,단독주택,1976-01-06,518
인천광역시 부평구 부평동 493-3번지,성원장미빌라,479.52,02000,공동주택,1993-12-22,306
인천광역시 부평구 부평동 493-4번지,,160.83,03000,제1종근린생활시설,1995-11-14,284
인천광역시 부평구 부평동 493-7번지,성원장미빌라,553.28,02000,공동주택,1994-05-12,302
인천광역시 부평구 부평동 493-8번지,성원장미빌라,441.16,02000,공동주택,1992-08-18,322
인천광역시 부평구 부평동 494-1번지,,949.85,03000,제1종근린생활시설,1993-10-14,308
인천광역시 부평구 부평동 494-2번지,아이앤비아파트,8951.1,02000,공동주택,2003-11-13,190
인천광역시 부평구 부평동 494-3번지,골드캐슬,5389.72,14000,업무시설,2003-05-21,195
인천광역시 부평구 부평동 494-4번지,휴플러스2차,7365.18,14000,업무시설,2019-02-22,10
인천광역시 부평구 부평동 494-6번지,동일타운,447.04,02000,공동주택,1993-12-16,306
인천광역시 부평구 부평동 494-9번지,동일타운,447.04,02000,공동주택,1994-03-22,303
인천광역시 부평구 부평동 495-10번지,헤르메스아파트 2동,7184.24,02000,공동주택,2016-08-09,40
인천광역시 부평구 부평동 495-1번지,신세계마트,446.86,03000,제1종근린생활시설,2013-02-13,81
인천광역시 부평구 부평동 495-2번지,뉴플러스아파트,2025.24,02000,공동주택,2011-04-14,102
인천광역시 부평구 부평동 495-3번지,헤르메스아파트 1동,7181.82,02000,공동주택,2016-08-29,39
인천광역시 부평구 부평동 495-4번지,영인Y타워,2394.67,14000,업무시설,2012-09-28,85
인천광역시 부평구 부평동 496-10번지,카리스 뷰,2918.37,02000,공동주택,2015-01-28,58
인천광역시 부평구 부평동 496-2번지,서린레이크,2896.91,02000,공동주택,2015-01-28,58
인천광역시 부평구 부평동 496-3번지,해마루빌리지,1577.98,02000,공동주택,2010-10-14,108
인천광역시 부평구 부평동 496-4번지,,471.64,03000,제1종근린생활시설,1989-06-30,359
인천광역시 부평구 부평동 496-6번지,휴플러스1차,4239.85,14000,업무시설,2018-09-14,15
인천광역시 부평구 부평동 496-7번지,,510.12,04000,제2종근린생활시설,1989-06-30,359
인천광역시 부평구 부평동 496-8번지,세화아파트,1111.64,02000,공동주택,2004-07-01,182
인천광역시 부평구 부평동 497-11번지,경흥빌라,327.74,02000,공동주택,1989-11-03,355
인천광역시 부평구 부평동 497-1번지,,747.28,03000,제1종근린생활시설,1989-08-25,357
인천광역시 부평구 부평동 497-2번지,삼진아파트,1738.86,02000,공동주택,1983-02-24,434
인천광역시 부평구 부평동 497-2번지,삼진아파트,1995.0,02000,공동주택,1983-09-22,427
인천광역시 부평구 부평동 498-2번지,휴안뷰,3840.84,14000,업무시설,2017-03-20,32
인천광역시 부평구 부평동 499-10번지,민경아파트,975.62,02000,공동주택,2001-12-04,212
인천광역시 부평구 부평동 499-11번지,그랑데 시티,3554.675,14000,업무시설,2016-10-04,38
인천광역시 부평구 부평동 499-13번지,중앙하이츠,528.12,02000,공동주택,2001-05-30,219
인천광역시 부평구 부평동 499-14번지,중앙타운빌라트,546.12,02000,공동주택,2001-01-11,223
인천광역시 부평구 부평동 499-1번지,중앙타운빌라트,393.29,02000,공동주택,2001-04-26,220
인천광역시 부평구 부평동 499-2번지,대림아파트,674.89,02000,공동주택,2002-04-11,208
인천광역시 부평구 부평동 499-3번지,중앙타운빌라트,554.9,02000,공동주택,2001-01-11,223
인천광역시 부평구 부평동 499-7번지,부평오피스텔,373.89,14000,업무시설,2002-11-02,202
인천광역시 부평구 부평동 499-8번지,중앙하이츠,648.46,02000,공동주택,2001-05-30,219
인천광역시 부평구 부평동 500-12번지,,1210.125,01000,단독주택,1983-06-27,430
인천광역시 부평구 부평동 500-19번지,리코팰리스 1차,2516.96,02000,공동주택,2013-03-22,79
인천광역시 부평구 부평동 500-1번지,삼성캐슬,3095.84,02000,공동주택,2014-01-28,69
인천광역시 부평구 부평동 500-2번지,리코팰리스 2차,2818.01,02000,공동주택,2013-03-22,79
인천광역시 부평구 부평동 500-6번지,메트로시티 101동,4297.84,14000,업무시설,2015-09-14,50
인천광역시 부평구 부평동 500-7번지,메트로시티 102동,4203.24,14000,업무시설,2015-09-14,50
인천광역시 부평구 부평동 500-8번지,형도주택,327.9,02000,공동주택,1988-06-20,371
인천광역시 부평구 부평동 500-9번지,,3.93,01000,단독주택,1978-12-28,483
인천광역시 부평구 부평동 501-1번지,더 갤러리,12322.23,14000,업무시설,2016-07-12,40
인천광역시 부평구 부평동 502-11번지,부평동 502-11 (임영순),896.47,01000,단독주택,1987-10-26,379
인천광역시 부평구 부평동 502-1번지,삼정그린빌아파트,689.9,02000,공동주택,2001-09-28,215
인천광역시 부평구 부평동 502-2번지,성경맨션빌라,616.8,02000,공동주택,2001-11-15,213
인천광역시 부평구 부평동 502-5번지,진타운,500.77,01000,단독주택,2002-05-08,207
인천광역시 부평구 부평동 502-6번지,,488.15,01000,단독주택,2002-01-31,211
인천광역시 부평구 부평동 502-8번지,중앙E클래스22차,6506.983,14000,업무시설,2017-11-02,25
인천광역시 부평구 부평동 503-1번지,명성그랜드빌라,634.58,02000,공동주택,2000-04-01,232
인천광역시 부평구 부평동 503-2번지,영진아트빌,604.12,02000,공동주택,2002-07-27,205
인천광역시 부평구 부평동 503-4번지,힐캐슬,2993.7,02000,공동주택,2015-01-22,58
인천광역시 부평구 부평동 503-5번지,현대타운,612.39,02000,공동주택,2002-06-21,206
인천광역시 부평구 부평동 503-6번지,,326.94,02000,공동주택,1989-12-22,353
