BAS_ID,open_15cluster,close_15cluster,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도
21326,3,8.0,L_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mL_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
21327,3,-1.0,,,,,,,,,,,,,,,
21328,8,0.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21329,14,5.0,L_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21330,8,5.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21331,14,5.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21332,14,5.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21333,14,5.0,L_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21334,2,3.0,L_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pH_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pL_p
21335,14,5.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21336,14,5.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21337,8,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21338,8,5.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21339,8,-1.0,,,,,,,,,,,,,,,
21340,8,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21341,3,0.0,L_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,L_pL_p,H_pL_p,H_mH_p,H_mL_m,L_pH_p,H_mL_m,H_mH_m,H_mH_m,L_pL_p
