address,latitude,longitude,주용도코드명,연면적
인천광역시 부평구 부평동 10-389번지,37.5034163,126.727207,공동주택,341.69
인천광역시 부평구 부평동 10-393번지,37.5036738,126.7267962,단독주택,283.41
인천광역시 부평구 부평동 10-394번지,37.5026562,126.7285952,제1종근린생활시설,169.9
인천광역시 부평구 부평동 10-397번지,37.5039373,126.7283104,공동주택,657.0
인천광역시 부평구 부평동 10-400번지,37.5040327,126.7271573,단독주택,300.24
인천광역시 부평구 부평동 10-402번지,37.5033259,126.7282092,단독주택,61.45
인천광역시 부평구 부평동 10-403번지,37.5033941,126.72807,공동주택,536.14
인천광역시 부평구 부평동 10-405번지,37.5034443,126.7279321,공동주택,656.66
인천광역시 부평구 부평동 10-407번지,37.5033607,126.7277787,공동주택,635.67
인천광역시 부평구 부평동 10-410번지,37.5033776,126.7276243,공동주택,414.6
인천광역시 부평구 부평동 10-411번지,37.5037002,126.7264456,공동주택,559.01
인천광역시 부평구 부평동 10-413번지,37.5032899,126.728646,단독주택,154.95000000000002
인천광역시 부평구 부평동 10-414번지,37.5038967,126.7267406,단독주택,338.44
인천광역시 부평구 부평동 10-415번지,37.5030945,126.7284915,공동주택,425.2
인천광역시 부평구 부평동 10-416번지,37.5029299,126.7286273,제1종근린생활시설,174.78
인천광역시 부평구 부평동 10-417번지,37.50294,126.7285164,단독주택,78.44
인천광역시 부평구 부평동 10-418번지,37.5038637,126.7266107,단독주택,55.87
인천광역시 부평구 부평동 10-419번지,37.5038744,126.7264598,단독주택,53.55
인천광역시 부평구 부평동 10-420번지,37.5038848,126.7263094,공동주택,484.74
인천광역시 부평구 부평동 10-421번지,37.5039579,126.7264636,단독주택,59.66
인천광역시 부평구 부평동 10-423번지,37.5034284,126.7268776,단독주택,224.28
인천광역시 부평구 부평동 10-424번지,37.5036578,126.7270063,공동주택,367.83
인천광역시 부평구 부평동 10-425번지,37.5040902,126.7263926,공동주택,547.4
인천광역시 부평구 부평동 10-427번지,37.5031581,126.7283508,공동주택,516.44
인천광역시 부평구 부평동 10-430번지,37.5037441,126.7287371,단독주택,188.87
인천광역시 부평구 부평동 10-431번지,37.5041478,126.728127,단독주택,212.03
인천광역시 부평구 부평동 10-433번지,37.5034864,126.7262585,단독주택,265.49
인천광역시 부평구 부평동 10-436번지,37.5036432,126.7272082,단독주택,267.93
인천광역시 부평구 부평동 10-438번지,37.5040644,126.7267391,단독주택,322.4
인천광역시 부평구 부평동 10-439번지,37.5042535,126.7297192,제2종근린생활시설,748.2
인천광역시 부평구 부평동 10-43번지,37.5037682,126.7335549,제1종근린생활시설,183.79
인천광역시 부평구 부평동 10-452번지,37.5051277,126.7295607,단독주택,199.71
인천광역시 부평구 부평동 10-454번지,37.5063194,126.7298299,단독주택,64.6
인천광역시 부평구 부평동 10-456번지,37.506336,126.7301094,단독주택,368.8
인천광역시 부평구 부평동 10-457번지,37.506305,126.7304405,단독주택,246.225
인천광역시 부평구 부평동 10-459번지,37.5062881,126.7307239,단독주택,1.44
인천광역시 부평구 부평동 10-459번지,37.5062881,126.7307239,제1종근린생활시설,174.66
인천광역시 부평구 부평동 10-460번지,37.5058197,126.7298908,공동주택,330.46
인천광역시 부평구 부평동 10-462번지,37.5058086,126.7300675,공동주택,333.02
인천광역시 부평구 부평동 10-462번지,37.5058086,126.7300675,단독주택,71.24000000000001
인천광역시 부평구 부평동 10-463번지,37.5052964,126.7298624,단독주택,329.58
인천광역시 부평구 부평동 10-465번지,37.5052883,126.7300359,단독주택,403.49
인천광역시 부평구 부평동 10-466번지,37.5052641,126.730389,단독주택,337.45
인천광역시 부평구 부평동 10-468번지,37.5052482,126.730673,단독주택,334.12
인천광역시 부평구 부평동 10-470번지,37.5050688,126.7300216,단독주택,70.71000000000001
인천광역시 부평구 부평동 10-472번지,37.5048101,126.7296342,단독주택,214.92
인천광역시 부평구 부평동 10-474번지,37.5047753,126.7300551,공동주택,701.85
인천광역시 부평구 부평동 10-475번지,37.5050576,126.7303731,단독주택,216.96
인천광역시 부평구 부평동 10-477번지,37.50504,126.7306615,단독주택,71.3
인천광역시 부평구 부평동 10-480번지,37.505128,126.7297215,단독주택,260.01
인천광역시 부평구 부평동 10-481번지,37.505078,126.7298469,단독주택,70.71000000000001
인천광역시 부평구 부평동 10-482번지,37.5050004,126.7297269,단독주택,78.28
인천광역시 부평구 부평동 10-483번지,37.5049716,126.7298395,단독주택,198.42
인천광역시 부평구 부평동 10-484번지,37.5050628,126.7301571,단독주택,70.55
인천광역시 부평구 부평동 10-485번지,37.5049575,126.7301474,단독주택,241.4
인천광역시 부평구 부평동 10-486번지,37.5049612,126.7300144,단독주택,70.55
인천광역시 부평구 부평동 10-487번지,37.5047986,126.729793,단독주택,274.5
인천광역시 부평구 부평동 10-488번지,37.5047119,126.7297878,단독주택,81.12
인천광역시 부평구 부평동 10-489번지,37.5046999,126.7296721,단독주택,75.66
인천광역시 부평구 부평동 10-490번지,37.50461,126.7296857,단독주택,72.96000000000001
인천광역시 부평구 부평동 10-491번지,37.504575,126.7297982,단독주택,71.54
인천광역시 부평구 부평동 10-492번지,37.5044849,126.7296748,단독주택,276.29
인천광역시 부평구 부평동 10-493번지,37.5044615,126.7297883,단독주택,291.82
인천광역시 부평구 부평동 10-495번지,37.5046662,126.7301267,단독주택,240.33
인천광역시 부평구 부평동 10-496번지,37.5046712,126.7299856,단독주택,71.54
인천광역시 부평구 부평동 10-497번지,37.5045637,126.7299798,단독주택,71.54
인천광역시 부평구 부평동 10-498번지,37.5044965,126.7301166,공동주택,759.37
인천광역시 부평구 부평동 10-501번지,37.5050548,126.7304962,단독주택,204.48
