,대지위치,주용도코드명,연면적
192,인천광역시 부평구 갈산동 160-20번지,제2종근린생활시설,631.97
193,인천광역시 부평구 갈산동 160-21번지,단독주택,110.2
194,인천광역시 부평구 갈산동 160-22번지,제2종근린생활시설,98.91
195,인천광역시 부평구 갈산동 160-23번지,단독주택,354.66
196,인천광역시 부평구 갈산동 160-24번지,단독주택,98.16
197,인천광역시 부평구 갈산동 160-25번지,근린생활시설,138.03
198,인천광역시 부평구 갈산동 160-27번지,단독주택,64.2
199,인천광역시 부평구 갈산동 160-28번지,제2종근린생활시설,197.2
200,인천광역시 부평구 갈산동 160-29번지,단독주택,187.53
201,인천광역시 부평구 갈산동 160-2번지,공동주택,522.33
202,인천광역시 부평구 갈산동 160-30번지,제1종근린생활시설,554.47
203,인천광역시 부평구 갈산동 160-32번지,단독주택,141.08
204,인천광역시 부평구 갈산동 160-34번지,제2종근린생활시설,398.91
205,인천광역시 부평구 갈산동 160-37번지,단독주택,140.21
206,인천광역시 부평구 갈산동 160-3번지,단독주택,620.44
207,인천광역시 부평구 갈산동 160-5번지,단독주택,491.94
208,인천광역시 부평구 갈산동 160-6번지,단독주택,621.6
209,인천광역시 부평구 갈산동 160-7번지,단독주택,72.69
210,인천광역시 부평구 갈산동 160-7번지,제1종근린생활시설,105.61
211,인천광역시 부평구 갈산동 160-8번지,제1종근린생활시설,99.63
212,인천광역시 부평구 갈산동 160-9번지,단독주택,67.5
213,인천광역시 부평구 갈산동 160번지,단독주택,685.11
214,인천광역시 부평구 갈산동 161-10번지,공동주택,738.11
215,인천광역시 부평구 갈산동 161-11번지,제2종근린생활시설,278.15
216,인천광역시 부평구 갈산동 161-12번지,공동주택,937.5799999999999
217,인천광역시 부평구 갈산동 161-13번지,단독주택,120.14
218,인천광역시 부평구 갈산동 161-14번지,공동주택,527.45
219,인천광역시 부평구 갈산동 161-15번지,근린생활시설,491.94
220,인천광역시 부평구 갈산동 161-17번지,단독주택,566.47
221,인천광역시 부평구 갈산동 161-1번지,공동주택,1114.05
222,인천광역시 부평구 갈산동 161-5번지,단독주택,497.52
223,인천광역시 부평구 갈산동 161-6번지,공동주택,755.8124
224,인천광역시 부평구 갈산동 161-7번지,공동주택,654.62
225,인천광역시 부평구 갈산동 161-9번지,단독주택,113.92
226,인천광역시 부평구 갈산동 161번지,업무시설,1620.75
227,인천광역시 부평구 갈산동 163-2번지,제2종근린생활시설,129.6
228,인천광역시 부평구 갈산동 166-3번지,단독주택,32.66
229,인천광역시 부평구 갈산동 168-11번지,업무시설,814.65
230,인천광역시 부평구 갈산동 168-12번지,공동주택,564.36
231,인천광역시 부평구 갈산동 168-13번지,제2종근린생활시설,751.36
232,인천광역시 부평구 갈산동 168-14번지,단독주택,318.40000000000003
233,인천광역시 부평구 갈산동 168-17번지,공동주택,439.44
234,인천광역시 부평구 갈산동 168-1번지,공동주택,449.71
235,인천광역시 부평구 갈산동 168-20번지,공동주택,624.88
236,인천광역시 부평구 갈산동 168-2번지,업무시설,1780.32
237,인천광역시 부평구 갈산동 168-5번지,공동주택,821.94
238,인천광역시 부평구 갈산동 168-7번지,공동주택,559.73
239,인천광역시 부평구 갈산동 169-10번지,제1종근린생활시설,620.47
240,인천광역시 부평구 갈산동 169-11번지,공동주택,659.9
241,인천광역시 부평구 갈산동 169-12번지,공동주택,653.72
242,인천광역시 부평구 갈산동 169-12번지,제2종근린생활시설,48.0
243,인천광역시 부평구 갈산동 169-14번지,단독주택,470.09000000000003
244,인천광역시 부평구 갈산동 169-16번지,제1종근린생활시설,4998.1
245,인천광역시 부평구 갈산동 169-18번지,단독주택,97.98
246,인천광역시 부평구 갈산동 169-18번지,제1종근린생활시설,598.2
247,인천광역시 부평구 갈산동 169-19번지,제2종근린생활시설,464.8
248,인천광역시 부평구 갈산동 169-1번지,제1종근린생활시설,511.25
249,인천광역시 부평구 갈산동 169-22번지,제2종근린생활시설,198.44
250,인천광역시 부평구 갈산동 169-23번지,공동주택,651.16
251,인천광역시 부평구 갈산동 169-24번지,공동주택,685.15
252,인천광역시 부평구 갈산동 169-25번지,공동주택,881.88
253,인천광역시 부평구 갈산동 169-27번지,공동주택,544.96
254,인천광역시 부평구 갈산동 169-28번지,공동주택,537.44
255,인천광역시 부평구 갈산동 169-29번지,공동주택,654.56
256,인천광역시 부평구 갈산동 169-2번지,공동주택,659.38
257,인천광역시 부평구 갈산동 169-30번지,공동주택,663.08
258,인천광역시 부평구 갈산동 169-3번지,제1종근린생활시설,930.05
259,인천광역시 부평구 갈산동 169-4번지,업무시설,889.26
260,인천광역시 부평구 갈산동 169-5번지,제2종근린생활시설,369.45
261,인천광역시 부평구 갈산동 169-7번지,공동주택,443.65
262,인천광역시 부평구 갈산동 169-8번지,공동주택,408.03
