대지위치,주용도코드명,연면적
인천광역시 부평구 갈산동 158-8번지,제1종근린생활시설,1300.36
인천광역시 부평구 갈산동 158번지,제1종근린생활시설,590.06
인천광역시 부평구 갈산동 159-3번지,공동주택,4788.34
인천광역시 부평구 갈산동 159번지,공동주택,9104.2
인천광역시 부평구 갈산동 16-10번지,단독주택,73.55
인천광역시 부평구 갈산동 16-11번지,단독주택,75.84
인천광역시 부평구 갈산동 16-15번지,단독주택,143.74
인천광역시 부평구 갈산동 16-1번지,단독주택,78.28
인천광역시 부평구 갈산동 16-22번지,단독주택,308.77
인천광역시 부평구 갈산동 16-2번지,단독주택,145.02
인천광역시 부평구 갈산동 16-4번지,공동주택,645.1
인천광역시 부평구 갈산동 16-5번지,공동주택,926.85
인천광역시 부평구 갈산동 16-7번지,단독주택,76.79
인천광역시 부평구 갈산동 16-8번지,단독주택,78.28
인천광역시 부평구 갈산동 160-10번지,단독주택,72.42
인천광역시 부평구 갈산동 160-12번지,단독주택,82.2
인천광역시 부평구 갈산동 160-13번지,단독주택,50.44
인천광역시 부평구 갈산동 160-14번지,단독주택,124.12
인천광역시 부평구 갈산동 160-16번지,단독주택,507.46
인천광역시 부평구 갈산동 160-17번지,제1종근린생활시설,150.3
인천광역시 부평구 갈산동 160-19번지,단독주택,311.46
인천광역시 부평구 갈산동 160-20번지,제2종근린생활시설,631.97
인천광역시 부평구 갈산동 160-21번지,단독주택,110.2
인천광역시 부평구 갈산동 160-22번지,제2종근린생활시설,98.91
인천광역시 부평구 갈산동 160-23번지,단독주택,354.66
인천광역시 부평구 갈산동 160-24번지,단독주택,98.16
인천광역시 부평구 갈산동 160-25번지,근린생활시설,138.03
인천광역시 부평구 갈산동 160-28번지,제2종근린생활시설,197.2
인천광역시 부평구 갈산동 160-29번지,단독주택,184.29
인천광역시 부평구 갈산동 160-2번지,공동주택,522.33
인천광역시 부평구 갈산동 160-30번지,제1종근린생활시설,554.47
인천광역시 부평구 갈산동 160-32번지,단독주택,141.08
인천광역시 부평구 갈산동 160-34번지,제2종근린생활시설,398.91
인천광역시 부평구 갈산동 160-37번지,단독주택,140.21
인천광역시 부평구 갈산동 160-3번지,단독주택,620.44
인천광역시 부평구 갈산동 160-5번지,단독주택,491.94
인천광역시 부평구 갈산동 160-6번지,단독주택,621.6
인천광역시 부평구 갈산동 160-7번지,단독주택,72.69
인천광역시 부평구 갈산동 160-7번지,제1종근린생활시설,101.21
인천광역시 부평구 갈산동 160-8번지,제1종근린생활시설,99.63
인천광역시 부평구 갈산동 160-9번지,단독주택,67.5
인천광역시 부평구 갈산동 160번지,단독주택,685.11
인천광역시 부평구 갈산동 161-10번지,공동주택,738.11
인천광역시 부평구 갈산동 161-11번지,제2종근린생활시설,278.15
인천광역시 부평구 갈산동 161-12번지,공동주택,480.26
인천광역시 부평구 갈산동 161-13번지,단독주택,120.14
인천광역시 부평구 갈산동 161-14번지,공동주택,527.45
인천광역시 부평구 갈산동 161-15번지,근린생활시설,491.94
인천광역시 부평구 갈산동 161-17번지,단독주택,566.47
인천광역시 부평구 갈산동 161-1번지,공동주택,561.65
인천광역시 부평구 갈산동 161-5번지,단독주택,497.52
인천광역시 부평구 갈산동 161-6번지,공동주택,755.8124
인천광역시 부평구 갈산동 161-7번지,공동주택,654.62
인천광역시 부평구 갈산동 161-9번지,단독주택,113.92
인천광역시 부평구 갈산동 161번지,업무시설,1620.75
인천광역시 부평구 갈산동 163-2번지,제2종근린생활시설,129.6
인천광역시 부평구 갈산동 166-3번지,단독주택,32.66
인천광역시 부평구 갈산동 168-11번지,업무시설,814.65
인천광역시 부평구 갈산동 168-12번지,공동주택,564.36
인천광역시 부평구 갈산동 168-13번지,제2종근린생활시설,751.36
인천광역시 부평구 갈산동 168-14번지,단독주택,315.16
인천광역시 부평구 갈산동 168-17번지,공동주택,439.44
인천광역시 부평구 갈산동 168-1번지,공동주택,449.71
인천광역시 부평구 갈산동 168-20번지,공동주택,624.88
인천광역시 부평구 갈산동 168-7번지,공동주택,559.73
인천광역시 부평구 갈산동 169-10번지,제1종근린생활시설,620.47
인천광역시 부평구 갈산동 169-11번지,공동주택,659.9
인천광역시 부평구 갈산동 169-12번지,공동주택,653.72
인천광역시 부평구 갈산동 169-12번지,제2종근린생활시설,48.0
인천광역시 부평구 갈산동 169-14번지,단독주택,466.79
인천광역시 부평구 갈산동 169-16번지,제1종근린생활시설,4998.1
인천광역시 부평구 갈산동 169-18번지,단독주택,97.98
인천광역시 부평구 갈산동 169-18번지,제1종근린생활시설,598.2
인천광역시 부평구 갈산동 169-19번지,제2종근린생활시설,464.8
인천광역시 부평구 갈산동 169-1번지,제1종근린생활시설,511.25
인천광역시 부평구 갈산동 169-22번지,제2종근린생활시설,198.44
인천광역시 부평구 갈산동 169-23번지,공동주택,651.16
인천광역시 부평구 갈산동 169-24번지,공동주택,685.15
인천광역시 부평구 갈산동 169-25번지,공동주택,881.88
인천광역시 부평구 갈산동 169-27번지,공동주택,544.96
인천광역시 부평구 갈산동 169-28번지,공동주택,537.44
인천광역시 부평구 갈산동 169-29번지,공동주택,654.56
인천광역시 부평구 갈산동 169-2번지,공동주택,659.38
인천광역시 부평구 갈산동 169-30번지,공동주택,663.08
인천광역시 부평구 갈산동 169-3번지,제1종근린생활시설,930.05
인천광역시 부평구 갈산동 169-4번지,업무시설,889.26
인천광역시 부평구 갈산동 169-5번지,제2종근린생활시설,369.45
인천광역시 부평구 갈산동 169-7번지,공동주택,443.65
인천광역시 부평구 갈산동 169-8번지,공동주택,408.03
인천광역시 부평구 갈산동 169-8번지,단독주택,81.67
인천광역시 부평구 갈산동 169-9번지,제2종근린생활시설,909.74
인천광역시 부평구 갈산동 169번지,단독주택,0.81
인천광역시 부평구 갈산동 17-18번지,공동주택,365.44
인천광역시 부평구 갈산동 17-1번지,단독주택,290.32
인천광역시 부평구 갈산동 17-2번지,공동주택,419.56
인천광역시 부평구 갈산동 17-2번지,단독주택,3.06
인천광역시 부평구 갈산동 17-3번지,단독주택,3.27
인천광역시 부평구 갈산동 17-7번지,공동주택,656.61
인천광역시 부평구 갈산동 170-10번지,제1종근린생활시설,49.74
인천광역시 부평구 갈산동 170-13번지,단독주택,36.08
인천광역시 부평구 갈산동 170-14번지,제2종근린생활시설,693.37
인천광역시 부평구 갈산동 170-16번지,제2종근린생활시설,972.0
인천광역시 부평구 갈산동 170-17번지,제2종근린생활시설,859.81
인천광역시 부평구 갈산동 170-18번지,제1종근린생활시설,132.89
인천광역시 부평구 갈산동 170-1번지,공동주택,591.39
인천광역시 부평구 갈산동 170-2번지,제1종근린생활시설,155.1
인천광역시 부평구 갈산동 170-3번지,단독주택,255.31
인천광역시 부평구 갈산동 170-7번지,업무시설,1295.13
인천광역시 부평구 갈산동 170-8번지,제2종근린생활시설,1303.5
인천광역시 부평구 갈산동 170-9번지,제1종근린생활시설,379.87
인천광역시 부평구 갈산동 170번지,단독주택,414.82
인천광역시 부평구 갈산동 171-11번지,제1종근린생활시설,9011.1
인천광역시 부평구 갈산동 171-16번지,공동주택,659.97
인천광역시 부평구 갈산동 171-17번지,제1종근린생활시설,814.2
인천광역시 부평구 갈산동 171-19번지,공동주택,659.97
인천광역시 부평구 갈산동 171-20번지,공동주택,420.03
인천광역시 부평구 갈산동 171-21번지,공동주택,420.03
인천광역시 부평구 갈산동 171-22번지,단독주택,431.48
인천광역시 부평구 갈산동 171-23번지,공동주택,447.52
인천광역시 부평구 갈산동 171-24번지,공동주택,549.15
인천광역시 부평구 갈산동 171-25번지,공동주택,635.94
인천광역시 부평구 갈산동 171-26번지,공동주택,658.48
인천광역시 부평구 갈산동 171-27번지,공동주택,657.68
인천광역시 부평구 갈산동 171-28번지,공동주택,443.52
인천광역시 부평구 갈산동 171-29번지,공동주택,548.72
인천광역시 부평구 갈산동 171-30번지,공동주택,472.54
인천광역시 부평구 갈산동 171-31번지,공동주택,474.8
인천광역시 부평구 갈산동 171-32번지,공동주택,418.41
인천광역시 부평구 갈산동 171-33번지,공동주택,418.41
인천광역시 부평구 갈산동 171-34번지,공동주택,474.8
인천광역시 부평구 갈산동 171-35번지,공동주택,418.41
인천광역시 부평구 갈산동 171-36번지,공동주택,376.06
인천광역시 부평구 갈산동 171-38번지,공동주택,640.1
인천광역시 부평구 갈산동 171-45번지,제2종근린생활시설,9863.67
인천광역시 부평구 갈산동 171-4번지,공동주택,449.04
인천광역시 부평구 갈산동 171-5번지,공동주택,36.8
인천광역시 부평구 갈산동 172-10번지,제2종근린생활시설,188.97
인천광역시 부평구 갈산동 172-11번지,단독주택,170.28
인천광역시 부평구 갈산동 172-12번지,공동주택,494.88
인천광역시 부평구 갈산동 172-13번지,공동주택,823.98
인천광역시 부평구 갈산동 172-15번지,공동주택,311.69
인천광역시 부평구 갈산동 172-16번지,공동주택,311.69
인천광역시 부평구 갈산동 172-17번지,제1종근린생활시설,198.36
인천광역시 부평구 갈산동 172-18번지,제2종근린생활시설,369.45
인천광역시 부평구 갈산동 172-19번지,제1종근린생활시설,33.05
인천광역시 부평구 갈산동 172-2번지,제2종근린생활시설,2.42
인천광역시 부평구 갈산동 172-3번지,단독주택,85.22
