시도명,시군구명,법정읍면동명,법정리명,본번,부번,기초구역번호,2017,2018,2019
인천광역시,부평구,십정동,,448,32,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,448,28,21454,"999,600 원","1,018,000 원","1,076,000 원"
인천광역시,부평구,십정동,,460,27,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,460,25,21454,"999,600 원","1,029,000 원","1,087,000 원"
인천광역시,부평구,십정동,,448,21,21454,"1,020,000 원","1,050,000 원","1,110,000 원"
인천광역시,부평구,십정동,,448,22,21454,"1,485,000 원","1,516,000 원","1,548,000 원"
인천광역시,부평구,십정동,,448,26,21454,"1,519,000 원","1,548,000 원","1,597,000 원"
인천광역시,부평구,십정동,,448,24,21454,"1,519,000 원","1,548,000 원","1,597,000 원"
인천광역시,부평구,십정동,,448,23,21454,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,450,1,21454,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,460,37,21454,"1,144,000 원","1,181,000 원","1,205,000 원"
인천광역시,부평구,십정동,,450,2,21454,"1,430,000 원","1,460,000 원","1,490,000 원"
인천광역시,부평구,십정동,,460,38,21454,"1,430,000 원","1,460,000 원","1,490,000 원"
인천광역시,부평구,십정동,,450,32,21454,"1,144,000 원","1,181,000 원","1,205,000 원"
인천광역시,부평구,십정동,,460,39,21454,"1,144,000 원","1,181,000 원","1,205,000 원"
인천광역시,부평구,십정동,,447,33,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,447,40,21453,"1,430,000 원","1,460,000 원","1,490,000 원"
인천광역시,부평구,십정동,,447,27,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,447,36,21453,"1,519,000 원","1,548,000 원","1,597,000 원"
인천광역시,부평구,십정동,,447,19,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,447,21,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,316,40,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,316,29,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,447,17,21453,"1,244,000 원","1,270,000 원","1,296,000 원"
인천광역시,부평구,십정동,,445,2,21453,"1,435,000 원","1,474,000 원","1,576,000 원"
인천광역시,부평구,십정동,,442,0,21453,"1,519,000 원","1,548,000 원","1,597,000 원"
인천광역시,부평구,십정동,,445,6,21453,"1,519,000 원","1,548,000 원","1,597,000 원"
인천광역시,부평구,십정동,,442,1,21453,"1,689,000 원","1,740,000 원","1,828,000 원"
인천광역시,부평구,십정동,,445,5,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,442,2,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,447,15,21453,"1,254,000 원","1,285,000 원","1,326,000 원"
인천광역시,부평구,십정동,,447,16,21453,"1,191,000 원","1,220,000 원","1,259,000 원"
인천광역시,부평구,십정동,,447,12,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,447,13,21453,"1,230,000 원","1,260,000 원","1,300,000 원"
인천광역시,부평구,십정동,,445,1,21453,"1,230,000 원","1,260,000 원","1,300,000 원"
인천광역시,부평구,십정동,,425,8,21453,"1,001,000 원","1,041,000 원","1,072,000 원"
인천광역시,부평구,십정동,,445,0,21453,"1,001,000 원","1,041,000 원","1,072,000 원"
인천광역시,부평구,십정동,,425,7,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,445,3,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,425,11,21453,"1,254,000 원","1,285,000 원","1,326,000 원"
인천광역시,부평구,십정동,,447,8,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,447,39,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,316,7,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,425,9,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
인천광역시,부평구,십정동,,425,0,21453,"1,168,000 원","1,197,000 원","1,235,000 원"
