BAS_ID,Æò±Õ¿µ¾÷±â°£,Æò±ÕÆó¾÷±â°£,open_15cluster,close_15cluster,kind
21395,126.34015832127756,106.3059025940708,9.0,10.0,HH
21396,123.72195494682796,103.8793208867143,9.0,10.0,HH
21397,136.3451579641126,131.30920277280595,3.0,14.0,HH
21398,132.59677870403158,99.84833950917856,3.0,14.0,HH
21399,131.54947592418918,98.52084574416666,1.0,14.0,HH
21400,99.48196061394664,126.74252338892684,1.0,14.0,LH
21401,70.69414520064556,113.20854344282856,3.0,4.0,LH
21402,127.24837916556989,83.73193573896154,11.0,4.0,HH
21403,82.34932595098246,96.8509414952,3.0,2.0,LH
21404,95.25176363094788,65.88349611689151,3.0,4.0,LH
21405,139.7007923952068,94.33497705584524,11.0,4.0,HH
21406,130.53187806794736,87.05084065438888,11.0,13.0,HH
21407,105.06233740738462,110.55475229629413,11.0,13.0,HH
21408,151.2711071770879,121.35499017611112,3.0,2.0,HH
21409,140.1974768061154,68.78916684372727,3.0,2.0,HH
21410,154.62760064466667,157.4260023578889,1.0,2.0,HH
21411,184.38160946666667,57.72603134,1.0,2.0,HH
21412,133.08020138327274,158.748228902,3.0,4.0,HH
21413,80.35331168985185,129.77131632333334,1.0,4.0,LH
21414,126.91431035575,101.31272862592856,1.0,4.0,HH
21415,136.7619396119697,103.85428858842106,10.0,11.0,HH
21416,126.50669145162026,87.03258793255556,7.0,4.0,HH
21417,118.88241124581818,55.98472247428572,1.0,4.0,HH
21418,156.9679996526923,88.63882671777779,1.0,4.0,HH
21419,147.48300786442186,117.08883326413635,1.0,4.0,HH
21420,154.5854612477869,59.259259261,1.0,4.0,HH
21421,169.26067335106384,105.8025832195,1.0,4.0,HH
21422,134.11232263396,95.338302628,11.0,13.0,HH
21423,145.6851270138,41.627138135,3.0,4.0,HL
21424,135.88659488836697,91.11501789176924,3.0,4.0,HH
21425,132.3304644925887,105.8803397766,1.0,4.0,HH
21426,161.9624995295147,102.97616714072728,3.0,13.0,HH
21427,156.68494219570587,112.94314424872728,3.0,13.0,HH
21428,101.95418112375,116.85387107333334,3.0,13.0,HH
21429,85.8279088582,196.649623198,3.0,13.0,LH
21430,137.83129333038465,161.83846544285714,1.0,2.0,HH
21431,79.667618092,175.313661455,10.0,2.0,LH
21432,131.00063656658332,122.8951873118182,10.0,7.0,HH
21433,87.2933735846875,120.25982736916666,10.0,2.0,LH
21434,141.798394224,66.64065654033334,10.0,2.0,HH
21435,134.45664181784,103.0205959025,2.0,7.0,HH
21436,163.19193845736842,173.72169299454546,2.0,2.0,HH
21437,114.50706710845763,121.76841414166668,2.0,9.0,HH
21438,135.7250367196207,102.32354966845456,10.0,7.0,HH
21439,137.8197785022135,101.40594262716,10.0,7.0,HH
21440,136.6550884762923,143.27921077699995,2.0,12.0,HH
21441,102.37195352294118,88.22800025776922,2.0,12.0,HH
21442,160.22804276588636,127.21880472214286,2.0,7.0,HH
21443,191.45120747352945,183.3442712752,2.0,7.0,HH
21444,151.93248321000002,101.95965694666666,2.0,9.0,HH
21445,152.75678946797686,112.20827469046154,2.0,3.0,HH
21446,148.70584790326086,123.43013486027588,4.0,3.0,HH
21447,138.84063328358334,232.56877280666663,4.0,5.0,HH
21448,120.71683584810812,127.89541771678948,8.0,3.0,HH
21449,70.01000313625714,58.52052217218181,8.0,3.0,LH
21450,163.38653064039343,122.94954721606666,2.0,8.0,HH
21451,119.77988838586276,86.8786887458421,8.0,8.0,HH
21452,162.7139913370686,93.05617892198214,8.0,8.0,HH
21453,150.44221553922728,84.765600932,4.0,5.0,HH
21454,180.99025533111111,59.894453685,1.0,13.0,HH
21455,184.38024052083333,192.6281854,7.0,4.0,HH
21456,55.40647651959999,60.770583919,3.0,4.0,LH
21457,123.1924299884074,71.82807769477778,1.0,,HH
21458,122.10965691112727,122.64258872857144,,,HH
21459,165.177929745,0.0,,,Not defined
21460,0.0,0.0,,,Not defined
