연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자,address,latitude,longitude
44,뉴서울1차,인천광역시 부평구 산곡2동 255-1,인천광역시 부평구 마장로264번길 33,18,6,565,1991-01-29,2019-09-06,인천광역시 부평구 산곡2동 255-1,37.5018264,126.7051732
45,무지개,인천광역시 부평구 산곡2동 191-3,인천광역시 부평구 마장로264번길 14,15,2,330,1991-01-19,2019-09-06,인천광역시 부평구 산곡2동 191-3,37.5010504,126.7035869
46,한양2단지,인천광역시 부평구 산곡2동 182,인천광역시 부평구 마장로 287,5,21,720,1985-05-09,2019-09-06,인천광역시 부평구 산곡2동 182,37.5036155,126.7012534
47,대운,인천광역시 부평구 산곡2동 120-8,인천광역시 부평구 마장로324번길 27-8,5,4,90,1985-05-31,2019-09-06,인천광역시 부평구 산곡2동 120-8,37.5073159,126.7054567
48,한양7차,인천광역시 부평구 산곡2동 155-1,인천광역시 부평구 안남로 231,20,2,320,1992-08-28,2019-09-06,인천광역시 부평구 산곡2동 155-1,37.5037855,126.7073584
49,경남5차,인천광역시 부평구 산곡2동 261-8,인천광역시 부평구 마장로264번길 66,20,3,308,1992-09-28,2019-09-06,인천광역시 부평구 산곡2동 261-8,37.5007488,126.7060961
50,산곡한양8차,인천광역시 부평구 산곡2동 185-17,인천광역시 부평구 마장로272번길 20,17,2,208,1993-09-25,2019-09-06,인천광역시 부평구 산곡2동 185-17,37.5019297,126.7036590
51,한화1차,인천광역시 부평구 산곡2동 124-23,인천광역시 부평구 원적로 361,20,10,744,1997-03-11,2019-09-06,인천광역시 부평구 산곡2동 124-23,37.5053038,126.7063724
51,한화1차,인천광역시 부평구 산곡2동 124-23,인천광역시 부평구 원적로 361,20,10,744,1997-03-11,2019-09-06,인천광역시 부평구 산곡2동 124-23,37.5053038,126.7063724
52,한화2차,인천광역시 부평구 산곡2동 124-23,인천광역시 부평구 원적로 361,20,19,1280,1999-12-02,2019-09-06,인천광역시 부평구 산곡2동 124-23,37.5053038,126.7063724
52,한화2차,인천광역시 부평구 산곡2동 124-23,인천광역시 부평구 원적로 361,20,19,1280,1999-12-02,2019-09-06,인천광역시 부평구 산곡2동 124-23,37.5053038,126.7063724
53,우성5차,인천광역시 부평구 산곡2동 251-2,인천광역시 부평구 부흥로111번길 36,22,3,299,1996-12-19,2019-09-06,인천광역시 부평구 산곡2동 251-2,37.4999746,126.7047418
54,한신휴,인천광역시 부평구 산곡2동 222,인천광역시 부평구 마장로220번길 13,25,5,703,2003-01-25,2019-09-06,인천광역시 부평구 산곡2동 222,37.4986965,126.7033051
55,프리상뜨,인천광역시 부평구 산곡2동 233-26,인천광역시 부평구 마장로220번길 65,23,3,335,2004-09-30,2019-09-06,인천광역시 부평구 산곡2동 233-26,37.4981025,126.7066186
56,금호이수마운트밸리,인천광역시 부평구 산곡2동 507,인천광역시 부평구 원적로 344,21,22,1365,2007-11-23,2019-09-06,인천광역시 부평구 산곡2동 507,37.5032755,126.7046959
57,산곡푸르지오,인천광역시 부평구 산곡2동 510,인천광역시 부평구 안남로 269,20,8,765,2011-10-25,2019-09-06,인천광역시 부평구 산곡2동 510,37.5072658,126.7071264
58,산곡현대1단지,인천광역시 부평구 산곡3동 307,인천광역시 부평구 경원대로 1269,15,23,2204,1985-09-30,2019-09-06,인천광역시 부평구 산곡3동 307,37.4899939,126.7067841
59,산곡현대2단지,인천광역시 부평구 산곡3동 311-126,인천광역시 부평구 안남로 91,15,13,1496,1987-05-20,2019-09-06,인천광역시 부평구 산곡3동 311-126,37.4927467,126.7083174
60,산곡현대3단지,인천광역시 부평구 산곡3동 37-4,인천광역시 부평구 마장로 121,15,14,1200,1989-09-25,2019-09-06,인천광역시 부평구 산곡3동 37-4,37.4898476,126.7043253
61,우성4차,인천광역시 부평구 산곡3동 306-3,인천광역시 부평구 안남로123번길 46,15,5,494,1991-01-19,2019-09-06,인천광역시 부평구 산곡3동 306-3,37.4952501,126.7079919
62,현대14차,인천광역시 부평구 산곡3동 311-76,인천광역시 부평구 마장로143번길 17-1,15,1,95,1991-08-31,2019-09-06,인천광역시 부평구 산곡3동 311-76,37.4944502,126.7064732
63,청하,인천광역시 부평구 산곡3동 370-129,인천광역시 부평구 화랑로47번길 60-5,6,1,84,1990-03-24,2019-09-06,인천광역시 부평구 산곡3동 370-129,37.4895086,126.7020903
64,선포,인천광역시 부평구 산곡3동 369-192,인천광역시 부평구 화랑로105번길 22,13,1,49,2002-01-09,2019-09-06,인천광역시 부평구 산곡3동 369-192,37.4917852,126.7021081
65,경남2차,인천광역시 부평구 산곡4동 274,인천광역시 부평구 안남로222번길 30,15,8,690,1991-07-12,2019-09-06,인천광역시 부평구 산곡4동 274,37.5018869,126.7098006
66,"우성1,2,3차",인천광역시 부평구 산곡4동 294-35(293),인천광역시 부평구 부영로 165,15,16,1980,1989-08-28,2019-09-06,인천광역시 부평구 산곡4동 294-35(293),37.5026829,126.7156826
67,부성,인천광역시 부평구 산곡4동 135-4,인천광역시 부평구 원적로 442,5,2,120,1985-03-18,2019-09-06,인천광역시 부평구 산곡4동 135-4,37.5029470,126.7148984
68,한신,인천광역시 부평구 산곡4동 137-3,인천광역시 부평구 원적로416번길 20,14,4,542,1986-10-30,2019-09-06,인천광역시 부평구 산곡4동 137-3,37.5029874,126.7120611
69,경남1차,인천광역시 부평구 산곡4동 142-3,인천광역시 부평구 안남로222번길 27,15,7,810,1990-12-19,2019-09-06,인천광역시 부평구 산곡4동 142-3,37.5031802,126.7102347
70,현대5차,인천광역시 부평구 산곡4동 124-1,인천광역시 부평구 안남로 260,19,9,1161,1993-11-20,2019-09-06,인천광역시 부평구 산곡4동 124-1,37.5056202,126.7105329
71,경남4차,인천광역시 부평구 산곡4동 274-5,인천광역시 부평구 안남로206번길 18,20,11,776,1994-05-25,2019-09-06,인천광역시 부평구 산곡4동 274-5,37.5006239,126.7094539
72,영남,인천광역시 부평구 청천1동 48-347,인천광역시 부평구 청중로 16,5,2,70,1986-05-17,2019-09-06,인천광역시 부평구 청천1동 48-347,37.5163972,126.6992341
73,인성,인천광역시 부평구 청천1동 산15-1,인천광역시 부평구 청중로 15-6,5,2,80,1985-01-29,2019-09-06,인천광역시 부평구 청천1동 산15-1,37.5171353,126.6986622
74,청천,인천광역시 부평구 청천1동 16-8외4,인천광역시 부평구 청중로51번길 3,5,5,130,1978-11-24,2019-09-06,인천광역시 부평구 청천1동 16-8외4,37.5179689,126.7033450
75,인향,인천광역시 부평구 청천1동 377-9,인천광역시 부평구 청안로 8,19,2,266,1994-01-10,2019-09-06,인천광역시 부평구 청천1동 377-9,37.5215048,126.6954981
76,우림필유,인천광역시 부평구 청천1동 192외 4,인천광역시 부평구 세월천로25번길 43,24,2,209,2005-09-27,2019-09-06,인천광역시 부평구 청천1동 192외 4,37.5138474,126.7037168
77,미도6차,인천광역시 부평구 청천2동 236-5,인천광역시 부평구 길주로494번길 50,6,3,222,1985-02-02,2019-09-06,인천광역시 부평구 청천2동 236-5,37.5053315,126.7162860
78,대진,인천광역시 부평구 청천2동 236,인천광역시 부평구 원길로 12,5,6,340,1985-05-25,2019-09-06,인천광역시 부평구 청천2동 236,37.5050728,126.7152429
79,삼익,인천광역시 부평구 청천2동 300,인천광역시 부평구 부평대로167번길 43,15,2,375,1986-11-20,2019-09-06,인천광역시 부평구 청천2동 300,37.5057552,126.7175951
80,쌍용,인천광역시 부평구 청천2동 259,인천광역시 부평구 길주로494번길 12,15,4,510,1990-09-22,2019-09-06,인천광역시 부평구 청천2동 259,37.5072092,126.7159263
81,미도7차,인천광역시 부평구 청천2동 259-5,인천광역시 부평구 원길로24번길 5,6,4,384,1989-02-27,2019-09-06,인천광역시 부평구 청천2동 259-5,37.5062480,126.7157187
82,현광,인천광역시 부평구 청천2동 300-1,인천광역시 부평구 부평대로167번길 41,6,1,48,1994-05-26,2019-09-06,인천광역시 부평구 청천2동 300-1,37.5059245,126.7184042
83,무지개,인천광역시 부평구 청천2동 390-5,인천광역시 부평구 부평북로 123,20,2,220,1993-03-26,2019-09-06,인천광역시 부평구 청천2동 390-5,37.5230477,126.7064132
