BAS_ID,open_7cluster,open_8cluster,open_9cluster,open_10cluster,open_11cluster,open_12cluster,open_13cluster,open_14cluster,open_15cluster,open_16cluster,open_17cluster,open_18cluster,open_19cluster,open_20cluster,open_21cluster,open_22cluster,open_23cluster,open_24cluster,open_25cluster,open_26cluster,open_27cluster,open_28cluster,open_29cluster,open_30cluster,close_7cluster,close_8cluster,close_9cluster,close_10cluster,close_11cluster,close_12cluster,close_13cluster,close_14cluster,close_15cluster,close_16cluster,close_17cluster,close_18cluster,close_19cluster,close_20cluster,close_21cluster,close_22cluster,close_23cluster,close_24cluster,close_25cluster,close_26cluster,close_27cluster,close_28cluster,close_29cluster,close_30cluster
21389,1,1,0,9,9,9,9,9,9,9,4,1,0,19,19,19,19,19,19,19,19,19,19,19,6.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0
21390,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0
21391,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
21392,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
21393,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,14,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
21394,1,1,0,9,9,9,9,9,9,9,4,1,0,19,19,19,19,19,19,19,19,19,19,19,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21395,1,1,0,9,9,9,9,9,9,9,4,1,0,19,19,19,19,19,19,19,19,19,19,19,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21396,1,1,0,9,9,9,9,9,9,9,4,1,0,19,19,19,19,19,19,19,19,19,19,19,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21397,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
21398,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,21,21,21,21,21,21,21,21,21,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
21399,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,14,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21400,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,14,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21401,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21402,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,21,21,21,21,21,21,21,21,21,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
21403,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,14,6.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0
